* Measurement data measured by REW V5.40 beta 103
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.800
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 25-Oct-2025 21:41:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Soundpeats Air5 Pro Plus R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	73.596	34.0665
20.299999	73.742	33.5135
20.600000	73.856	32.9944
20.900000	73.931	32.4888
21.200001	73.962	32.0115
21.400000	73.960	31.7247
21.799999	73.910	31.2464
22.000000	73.872	31.0405
22.400000	73.789	30.5967
22.700001	73.723	30.1421
23.000000	73.650	29.5281
23.299999	73.566	28.7594
23.600000	73.472	27.8806
24.000000	73.343	26.6191
24.299999	73.256	25.6295
24.700001	73.173	24.2237
25.000000	73.137	23.0825
25.400000	73.112	21.4715
25.799999	73.105	19.8673
26.200001	73.115	18.4031
26.500000	73.135	17.4444
26.900000	73.181	16.3570
27.200001	73.226	15.6698
27.600000	73.291	14.9050
28.000000	73.354	14.2996
28.500000	73.420	13.7398
29.000000	73.455	13.3571
29.500000	73.460	13.1224
30.000000	73.443	12.9904
30.400000	73.418	12.8811
30.700001	73.393	12.7473
31.100000	73.348	12.4704
31.500000	73.286	12.1014
32.000000	73.195	11.5916
32.500000	73.114	11.0602
33.000000	73.060	10.4323
33.500000	73.026	9.6504
34.000000	73.004	8.7840
34.500000	72.993	7.9603
35.000000	73.001	7.2348
35.500000	73.027	6.5847
36.000000	73.062	5.9952
36.500000	73.096	5.4952
37.000000	73.125	5.1141
37.500000	73.150	4.8402
38.200001	73.173	4.5472
38.700001	73.179	4.3442
39.500000	73.171	3.9803
40.000000	73.160	3.7173
40.599998	73.146	3.3401
41.200001	73.137	2.8838
41.799999	73.134	2.3799
42.500000	73.143	1.7838
43.099998	73.162	1.2707
43.700001	73.190	0.7428
44.400002	73.229	0.1180
45.000000	73.261	-0.3874
45.500000	73.286	-0.7648
46.200001	73.327	-1.2654
46.799999	73.365	-1.7445
47.500000	73.399	-2.3519
48.200001	73.429	-2.8918
48.700001	73.465	-3.2369
49.400002	73.537	-3.7763
50.000000	73.595	-4.3277
50.799999	73.642	-5.1020
51.500000	73.673	-5.7834
52.200001	73.706	-6.4998
53.000000	73.739	-7.3512
53.799999	73.765	-8.1974
54.500000	73.793	-8.9470
55.200001	73.825	-9.7564
56.000000	73.861	-10.7747
57.000000	73.902	-12.0955
58.000000	73.951	-13.4539
59.000000	73.990	-14.8960
60.000000	74.006	-16.2920
60.799999	74.012	-17.3779
61.500000	74.010	-18.3786
62.200001	73.994	-19.4296
63.000000	73.963	-20.6473
64.000000	73.915	-22.1894
65.000000	73.862	-23.7710
66.000000	73.804	-25.3346
67.000000	73.742	-26.8352
68.000000	73.669	-28.2690
69.000000	73.575	-29.6361
70.000000	73.460	-30.9468
71.000000	73.333	-32.2060
72.000000	73.202	-33.3931
73.000000	73.077	-34.4892
74.000000	72.963	-35.4921
75.000000	72.856	-36.4221
76.199997	72.712	-37.4568
77.500000	72.525	-38.3496
78.800003	72.326	-39.1505
80.000000	72.129	-39.9885
81.199997	71.925	-40.9175
82.500000	71.720	-41.9402
83.800003	71.550	-42.9076
85.000000	71.420	-43.6666
86.199997	71.301	-44.2789
87.500000	71.166	-44.7820
88.500000	71.053	-45.1192
90.000000	70.850	-45.6684
91.199997	70.664	-46.0837
92.500000	70.471	-46.5236
93.800003	70.306	-47.0395
95.000000	70.167	-47.6216
