* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.900
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 17-Jun-2025 17:19:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Air 5 Pro SC A L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.508	55.9841
20.600000	79.424	54.4994
20.900000	79.317	52.6896
21.200001	79.201	50.8345
21.400000	79.123	49.6297
21.799999	78.971	47.3463
22.000000	78.897	46.2746
22.400000	78.753	44.2753
22.700001	78.646	42.9003
23.000000	78.539	41.6281
23.299999	78.430	40.4534
23.600000	78.319	39.3693
24.000000	78.170	38.0508
24.299999	78.058	37.1468
24.700001	77.914	36.0407
25.000000	77.813	35.2777
25.400000	77.687	34.3409
25.799999	77.571	33.4894
26.200001	77.465	32.7168
26.500000	77.389	32.1844
26.900000	77.293	31.5275
27.200001	77.223	31.0670
27.600000	77.133	30.4848
28.000000	77.047	29.9312
28.500000	76.943	29.2788
29.000000	76.845	28.6837
29.500000	76.754	28.1632
30.000000	76.671	27.7212
30.400000	76.611	27.4135
30.700001	76.569	27.1993
31.100000	76.518	26.9221
31.500000	76.471	26.6428
32.000000	76.419	26.2850
32.500000	76.371	25.9306
33.000000	76.327	25.6043
33.500000	76.288	25.3216
34.000000	76.254	25.0761
34.500000	76.225	24.8486
35.000000	76.198	24.6252
35.500000	76.173	24.4076
36.000000	76.150	24.2035
36.500000	76.133	24.0135
37.000000	76.121	23.8272
37.500000	76.114	23.6325
38.200001	76.102	23.3385
38.700001	76.092	23.1207
39.500000	76.072	22.7818
40.000000	76.063	22.5848
40.599998	76.056	22.3644
41.200001	76.058	22.1554
41.799999	76.065	21.9512
42.500000	76.075	21.7191
43.099998	76.083	21.5258
43.700001	76.092	21.3290
44.400002	76.105	21.0764
45.000000	76.119	20.8339
45.500000	76.132	20.6200
46.200001	76.152	20.3205
46.799999	76.173	20.0729
47.500000	76.202	19.7892
48.200001	76.236	19.4988
48.700001	76.263	19.2864
49.400002	76.301	18.9878
50.000000	76.333	18.7277
50.799999	76.373	18.3523
51.500000	76.404	17.9860
52.200001	76.437	17.5938
53.000000	76.476	17.1220
53.799999	76.518	16.6129
54.500000	76.556	16.1282
55.200001	76.596	15.6092
56.000000	76.645	14.9773
57.000000	76.705	14.1283
58.000000	76.760	13.2118
59.000000	76.806	12.2141
60.000000	76.842	11.1342
60.799999	76.863	10.2434
61.500000	76.878	9.4606
62.200001	76.888	8.6665
63.000000	76.892	7.7307
64.000000	76.878	6.5210
65.000000	76.845	5.2947
66.000000	76.795	4.0756
67.000000	76.732	2.8782
68.000000	76.657	1.7291
69.000000	76.570	0.6596
70.000000	76.473	-0.3317
71.000000	76.366	-1.2683
72.000000	76.252	-2.1536
73.000000	76.138	-2.9749
74.000000	76.023	-3.7280
75.000000	75.906	-4.4204
76.199997	75.757	-5.1841
77.500000	75.593	-5.9258
78.800003	75.435	-6.5868
80.000000	75.293	-7.1539
81.199997	75.149	-7.6768
82.500000	74.989	-8.1760
83.800003	74.830	-8.6085
85.000000	74.691	-8.9644
86.199997	74.554	-9.3031
87.500000	74.403	-9.6627
88.500000	74.287	-9.9355
90.000000	74.115	-10.3390
91.199997	73.978	-10.6486
92.500000	73.831	-10.9567
93.800003	73.687	-11.2352
95.000000	73.556	-11.4749
96.199997	73.424	-11.6982
97.500000	73.277	-11.9212
98.800003	73.125	-12.1362
100.000000	72.985	-12.3325
101.500000	72.813	-12.5566
103.000000	72.642	-12.7490
104.400002	72.480	-12.9072
106.000000	72.288	-13.0554
107.500000	72.102	-13.1608
109.000000	71.910	-13.2296
110.599998	71.701	-13.2557
112.000000	71.520	-13.2330
113.800003	71.288	-13.1474
115.000000	71.129	-13.0728
117.199997	70.827	-12.9011
118.000000	70.717	-12.8193
120.599998	70.357	-12.4742
122.000000	70.159	-12.2356
124.099998	69.856	-11.7870
125.000000	69.724	-11.5538
126.500000	69.502	-11.1062
128.000000	69.280	-10.5873
131.500000	68.769	-9.1125
132.000000	68.697	-8.8725
134.000000	68.408	-7.8313
136.000000	68.123	-6.6500
138.000000	67.843	-5.3296
140.000000	67.566	-3.8805
143.000000	67.170	-1.4519
145.000000	66.926	0.3227
147.500000	66.647	2.6864
150.000000	66.401	5.2243
152.500000	66.194	7.9313
155.000000	66.026	10.7345
157.500000	65.901	13.5703
160.000000	65.819	16.3915
162.500000	65.777	19.1765
165.000000	65.770	21.9368
167.500000	65.794	24.6348
170.000000	65.844	27.1907
172.500000	65.918	29.5638
175.000000	66.015	31.7711
177.500000	66.128	33.8157
180.000000	66.249	35.6697
182.500000	66.369	37.3587
185.000000	66.479	38.9274
187.500000	66.579	40.3798
190.000000	66.675	41.7029
192.500000	66.777	42.8947
195.000000	66.891	43.9600
197.500000	67.016	44.9170
200.000000	67.150	45.7904
203.000000	67.318	46.7578
206.000000	67.492	47.6391
209.000000	67.664	48.4242
212.000000	67.824	49.1317
214.000000	67.921	49.5773
218.000000	68.087	50.4200
220.000000	68.159	50.8113
224.000000	68.282	51.5225
227.000000	68.362	51.9938
230.000000	68.433	52.4274
233.000000	68.493	52.8375
236.000000	68.542	53.2325
