* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.900
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 17-Jun-2025 17:20:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Air 5 Pro SC A R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.523	56.2901
20.600000	79.443	54.8094
20.900000	79.338	53.0212
21.200001	79.224	51.2053
21.400000	79.146	50.0330
21.799999	78.985	47.8203
22.000000	78.904	46.7847
22.400000	78.741	44.8577
22.700001	78.619	43.5384
23.000000	78.499	42.3230
23.299999	78.382	41.2032
23.600000	78.271	40.1676
24.000000	78.128	38.8962
24.299999	78.026	38.0113
24.700001	77.893	36.9108
25.000000	77.798	36.1421
25.400000	77.673	35.1938
25.799999	77.552	34.3367
26.200001	77.436	33.5731
26.500000	77.352	33.0600
26.900000	77.247	32.4473
27.200001	77.174	32.0323
27.600000	77.084	31.5225
28.000000	77.002	31.0467
28.500000	76.906	30.4848
29.000000	76.813	29.9598
29.500000	76.725	29.4827
30.000000	76.642	29.0606
30.400000	76.580	28.7596
30.700001	76.538	28.5507
31.100000	76.486	28.2867
31.500000	76.440	28.0306
32.000000	76.388	27.7125
32.500000	76.340	27.3969
33.000000	76.296	27.0943
33.500000	76.255	26.8153
34.000000	76.221	26.5608
34.500000	76.193	26.3250
35.000000	76.167	26.1057
35.500000	76.142	25.9071
36.000000	76.118	25.7309
36.500000	76.097	25.5673
37.000000	76.080	25.3974
37.500000	76.067	25.2075
38.200001	76.055	24.9129
38.700001	76.049	24.7020
39.500000	76.047	24.3995
40.000000	76.046	24.2412
40.599998	76.043	24.0828
41.200001	76.040	23.9487
41.799999	76.040	23.8136
42.500000	76.047	23.6136
43.099998	76.058	23.3916
43.700001	76.070	23.1422
44.400002	76.083	22.8611
45.000000	76.096	22.6507
45.500000	76.108	22.4930
46.200001	76.127	22.2786
46.799999	76.145	22.0885
47.500000	76.169	21.8592
48.200001	76.199	21.6277
48.700001	76.225	21.4591
49.400002	76.268	21.2079
50.000000	76.306	20.9696
50.799999	76.352	20.6173
51.500000	76.390	20.2800
52.200001	76.428	19.9101
53.000000	76.471	19.4426
53.799999	76.511	18.9440
54.500000	76.547	18.4929
