* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -36.8 dBFS, measurement signal peak level -36.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 11-Sep-2023 12:21:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Technics AZ80 Bass Plus L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	77.709	43.1229
20.299999	77.569	42.4317
20.600000	77.456	41.4593
20.900000	77.370	40.3211
21.200001	77.316	39.1563
21.400000	77.304	38.4279
21.799999	77.346	37.1490
22.000000	77.402	36.6191
22.400000	77.582	35.7799
22.700001	77.765	35.3209
23.000000	77.973	34.9848
23.299999	78.187	34.7646
23.600000	78.394	34.6731
24.000000	78.644	34.7940
24.299999	78.807	35.1019
24.700001	78.998	35.8057
25.000000	79.128	36.5017
25.400000	79.286	37.5306
25.799999	79.420	38.5252
26.200001	79.519	39.4023
26.500000	79.567	39.9838
26.900000	79.600	40.6766
27.200001	79.610	41.1286
27.600000	79.616	41.5956
28.000000	79.620	41.8330
28.500000	79.621	41.7506
29.000000	79.620	41.3188
29.500000	79.629	40.6833
30.000000	79.672	39.9526
30.400000	79.741	39.3173
30.700001	79.812	38.8103
31.100000	79.925	38.1077
31.500000	80.051	37.4147
32.000000	80.217	36.6542
32.500000	80.389	36.0960
33.000000	80.568	35.7384
33.500000	80.751	35.4918
34.000000	80.925	35.2515
34.500000	81.072	34.9741
35.000000	81.188	34.6731
35.500000	81.275	34.3649
36.000000	81.344	34.0337
36.500000	81.401	33.6428
37.000000	81.451	33.1608
37.500000	81.498	32.5779
38.200001	81.559	31.6079
38.700001	81.603	30.8276
39.500000	81.677	29.5014
40.000000	81.725	28.6791
40.599998	81.786	27.7441
41.200001	81.852	26.8731
41.799999	81.919	26.0615
42.500000	81.995	25.1955
43.099998	82.060	24.4872
43.700001	82.120	23.7172
44.400002	82.159	22.7088
45.000000	82.151	21.8883
45.500000	82.125	21.3638
46.200001	82.090	20.8958
46.799999	82.081	20.6100
47.500000	82.092	20.2339
48.200001	82.106	19.7782
48.700001	82.112	19.4297
49.400002	82.114	18.9345
50.000000	82.106	18.5051
50.799999	82.080	17.9211
51.500000	82.050	17.4005
52.200001	82.020	16.8765
53.000000	81.994	16.2752
53.799999	81.979	15.6705
54.500000	81.971	15.1529
55.200001	81.964	14.6685
56.000000	81.953	14.1812
57.000000	81.934	13.7015
58.000000	81.916	13.3084
59.000000	81.898	12.8538
60.000000	81.867	12.2905
60.799999	81.833	11.8073
61.500000	81.800	11.3872
62.200001	81.769	10.9762
63.000000	81.736	10.5199
64.000000	81.695	9.9882
65.000000	81.652	9.5230
66.000000	81.606	9.1075
67.000000	81.554	8.7026
68.000000	81.493	8.2876
69.000000	81.423	7.8718
70.000000	81.350	7.4751
71.000000	81.284	7.0956
72.000000	81.225	6.7192
73.000000	81.166	6.3519
74.000000	81.102	6.0167
75.000000	81.030	5.7315
76.199997	80.934	5.4564
77.500000	80.824	5.2278
78.800003	80.713	5.0519
80.000000	80.608	4.9136
81.199997	80.497	4.8092
82.500000	80.373	4.7514
83.800003	80.251	4.7310
85.000000	80.146	4.7256
86.199997	80.047	4.7370
87.500000	79.946	4.7746
88.500000	79.869	4.8190
90.000000	79.743	4.9272
91.199997	79.630	5.0755
92.500000	79.503	5.2879
93.800003	79.377	5.5070
95.000000	79.264	5.6991
96.199997	79.157	5.9079
97.500000	79.048	6.1872
98.800003	78.947	6.5361
100.000000	78.859	6.9111
101.500000	78.752	7.4047
103.000000	78.636	7.8839
104.400002	78.516	8.3308
106.000000	78.375	8.8840
107.500000	78.256	9.4279
109.000000	78.151	9.9602
110.599998	78.047	10.5391
112.000000	77.957	11.0874
113.800003	77.840	11.8373
115.000000	77.760	12.3379
117.199997	77.613	13.2446
118.000000	77.560	13.5818
120.599998	77.395	14.7439
122.000000	77.307	15.4217
124.099998	77.174	16.4760
125.000000	77.117	16.9249
126.500000	77.024	17.6570
128.000000	76.935	18.3701
131.500000	76.744	20.0256
132.000000	76.716	20.2687
134.000000	76.603	21.2616
136.000000	76.481	22.2827
138.000000	76.357	23.3288
140.000000	76.242	24.3844
143.000000	76.087	26.0036
145.000000	75.985	27.1569
147.500000	75.857	28.6677
150.000000	75.738	30.1466
152.500000	75.632	31.5891
155.000000	75.531	33.0862
157.500000	75.427	34.6474
160.000000	75.325	36.2178
162.500000	75.231	37.7796
165.000000	75.143	39.3506
167.500000	75.054	40.9210
170.000000	74.969	42.4718
172.500000	74.895	44.0144
175.000000	74.833	45.5783
177.500000	74.775	47.1529
180.000000	74.712	48.7053
182.500000	74.637	50.2469
185.000000	74.554	51.8083
187.500000	74.469	53.3996
190.000000	74.385	55.0278
192.500000	74.304	56.6936
195.000000	74.228	58.3708
197.500000	74.162	60.0199
200.000000	74.113	61.6340
203.000000	74.083	63.5700
206.000000	74.075	65.5499
209.000000	74.067	67.5620
212.000000	74.048	69.5695
214.000000	74.032	70.9026
218.000000	74.002	73.5613
220.000000	73.987	74.8772
224.000000	73.952	77.4524
227.000000	73.921	79.3249
230.000000	73.888	81.1571
233.000000	73.858	82.9715
236.000000	73.834	84.8021
240.000000	73.812	87.3182
243.000000	73.797	89.2445
247.000000	73.775	91.7946
250.000000	73.756	93.6915
254.000000	73.726	96.2560
258.000000	73.691	98.8881
262.000000	73.656	101.5660
265.000000	73.633	103.5671
269.000000	73.601	106.1723
272.000000	73.578	108.0629
276.000000	73.557	110.5350
280.000000	73.546	113.0637
285.000000	73.536	116.3770
290.000000	73.529	119.7164
295.000000	73.542	122.9776
300.000000	73.566	126.1219
304.000000	73.577	128.5477
307.000000	73.578	130.3099
311.000000	73.573	132.5908
315.000000	73.566	134.8103
320.000000	73.560	137.4891
325.000000	73.556	140.0411
330.000000	73.548	142.5101
335.000000	73.536	144.9237
340.000000	73.529	147.2947
345.000000	73.535	149.6458
350.000000	73.548	151.9702
355.000000	73.562	154.2706
360.000000	73.573	156.5771
365.000000	73.573	158.9064
370.000000	73.558	161.2800
375.000000	73.535	163.6910
382.000000	73.516	167.0207
387.000000	73.521	169.3008
395.000000	73.548	172.7395
400.000000	73.566	174.7944
406.000000	73.575	177.1671
412.000000	73.564	179.4165
418.000000	73.537	-178.4927
425.000000	73.491	-176.2931
431.000000	73.447	-174.5575
437.000000	73.405	-172.8520
444.000000	73.355	-170.8294
450.000000	73.312	-169.0764
455.000000	73.275	-167.6328
462.000000	73.210	-165.6847
468.000000	73.139	-164.0519
475.000000	73.044	-162.0967
482.000000	72.946	-160.0250
487.000000	72.875	-158.4676
494.000000	72.777	-156.1909
500.000000	72.697	-154.1546
508.000000	72.587	-151.3594
515.000000	72.482	-148.8701
522.000000	72.368	-146.3046
530.000000	72.241	-143.2354
538.000000	72.139	-140.0134
545.000000	72.075	-137.0823
552.000000	72.029	-134.0890
560.000000	71.984	-130.6423
570.000000	71.944	-126.3112
580.000000	71.934	-122.0090
590.000000	71.947	-117.7858
600.000000	71.958	-113.6822
608.000000	71.952	-110.5206
615.000000	71.946	-107.8363
622.000000	71.951	-105.2068
630.000000	71.974	-102.2367
640.000000	72.019	-98.5391
650.000000	72.068	-94.8638
660.000000	72.106	-91.2412
670.000000	72.137	-87.7048
680.000000	72.185	-84.2414
690.000000	72.256	-80.7738
700.000000	72.331	-77.2876
710.000000	72.395	-73.8230
720.000000	72.441	-70.4030
730.000000	72.477	-66.9943
740.000000	72.513	-63.5721
750.000000	72.555	-60.1458
762.000000	72.611	-56.0063
775.000000	72.672	-51.5244
788.000000	72.723	-47.1819
800.000000	72.767	-43.2920
812.000000	72.825	-39.4641
825.000000	72.898	-35.3510
838.000000	72.965	-31.3215
850.000000	73.029	-27.6898
862.000000	73.103	-24.0886
875.000000	73.196	-20.1766
885.000000	73.273	-17.1993
900.000000	73.385	-12.8866
912.000000	73.472	-9.6066
925.000000	73.566	-6.2477
938.000000	73.659	-3.0814
950.000000	73.745	-0.2483
962.000000	73.828	2.5676
975.000000	73.912	5.6056
988.000000	73.989	8.6016
1000.000000	74.055	11.3022
1015.000000	74.128	14.5502
1030.000000	74.187	17.6671
1044.000000	74.235	20.5556
1060.000000	74.294	23.9149
1075.000000	74.351	27.0541
1090.000000	74.395	30.1105
1106.000000	74.423	33.2985
1120.000000	74.444	36.0791
1138.000000	74.492	39.7377
1150.000000	74.539	42.2498
1172.000000	74.633	46.8954
1180.000000	74.663	48.5684
1206.000000	74.737	53.8588
1220.000000	74.777	56.6063
1241.000000	74.865	60.6858
1250.000000	74.916	62.4528
1265.000000	75.016	65.4420
1280.000000	75.122	68.4724
1315.000000	75.343	75.4694
1320.000000	75.368	76.4401
1340.000000	75.438	80.2579
1360.000000	75.455	84.0339
1380.000000	75.435	87.8450
1400.000000	75.414	91.7269
1430.000000	75.429	97.6467
1450.000000	75.463	101.6130
1475.000000	75.513	106.5553
1500.000000	75.575	111.4320
1525.000000	75.667	116.2299
1550.000000	75.787	120.9722
1575.000000	75.916	125.6862
1600.000000	76.041	130.4520
1625.000000	76.162	135.2972
1650.000000	76.281	140.1042
1675.000000	76.396	144.7080
1700.000000	76.514	149.0142
1725.000000	76.634	153.0661
1750.000000	76.755	156.9906
1775.000000	76.875	160.8506
1800.000000	76.993	164.5819
1825.000000	77.106	168.0900
1850.000000	77.215	171.3883
1875.000000	77.324	174.5595
1900.000000	77.436	177.6611
1925.000000	77.552	-179.2787
1950.000000	77.664	-176.2322
1975.000000	77.771	-173.1393
2000.000000	77.874	-169.9323
2030.000000	78.001	-165.9227
2060.000000	78.135	-161.8057
2090.000000	78.268	-157.6437
2120.000000	78.397	-153.4976
2140.000000	78.483	-150.7721
2180.000000	78.658	-145.4437
2200.000000	78.739	-142.8218
2240.000000	78.881	-137.5834
2270.000000	78.981	-133.6262
2300.000000	79.081	-129.6538
2330.000000	79.177	-125.7734
2360.000000	79.264	-122.1290
2400.000000	79.364	-117.7065
2430.000000	79.424	-114.6288
2470.000000	79.494	-110.7105
2500.000000	79.542	-107.9083
2540.000000	79.591	-104.4272
2580.000000	79.612	-101.3029
2620.000000	79.602	-98.4250
2650.000000	79.582	-96.2332
2690.000000	79.553	-93.0187
2720.000000	79.530	-90.3406
2760.000000	79.491	-86.5122
2800.000000	79.436	-82.5272
2850.000000	79.353	-77.3070
2900.000000	79.284	-71.6013
2950.000000	79.241	-65.4479
3000.000000	79.207	-59.3672
3040.000000	79.173	-54.9406
3070.000000	79.141	-51.9326
3110.000000	79.091	-48.2148
3150.000000	79.037	-44.6166
3200.000000	78.966	-40.0086
3250.000000	78.896	-35.1645
3300.000000	78.815	-30.2670
3350.000000	78.703	-25.6230
3400.000000	78.569	-21.2173
3450.000000	78.437	-16.7262
3500.000000	78.316	-11.9566
3550.000000	78.198	-7.0022
3600.000000	78.076	-2.0961
3650.000000	77.948	2.5756
3700.000000	77.824	6.9672
3750.000000	77.719	11.1707
3820.000000	77.621	16.9973
3870.000000	77.574	21.1395
3950.000000	77.486	27.4727
4000.000000	77.408	31.2401
4060.000000	77.304	35.7910
4120.000000	77.207	40.5479
4180.000000	77.113	45.3838
4250.000000	76.996	50.7426
4310.000000	76.883	54.8868
4370.000000	76.764	58.7023
4440.000000	76.639	63.1706
4500.000000	76.564	67.2230
4550.000000	76.518	70.6321
4620.000000	76.467	75.1158
4680.000000	76.437	78.5739
4750.000000	76.436	82.2529
4820.000000	76.473	85.6198
4870.000000	76.516	87.7972
4940.000000	76.588	90.4357
5000.000000	76.656	92.1949
5080.000000	76.741	93.5731
5150.000000	76.799	93.8538
5220.000000	76.848	93.5275
5300.000000	76.900	92.8069
5380.000000	76.950	91.9720
5450.000000	76.991	91.2019
5520.000000	77.030	90.4080
5600.000000	77.075	89.5713
5700.000000	77.152	88.9749
5800.000000	77.272	89.1500
5900.000000	77.438	89.9684
6000.000000	77.637	91.0411
6080.000000	77.809	91.8387
6150.000000	77.964	92.4219
6220.000000	78.121	92.8886
6300.000000	78.300	93.2589
6400.000000	78.516	93.2991
6500.000000	78.701	92.4529
6600.000000	78.835	90.4888
6700.000000	78.929	87.9323
6800.000000	79.006	85.7333
6900.000000	79.070	84.3516
7000.000000	79.109	83.4699
7100.000000	79.107	82.4597
7200.000000	79.058	80.9174
7300.000000	78.970	78.8588
7400.000000	78.859	76.6589
7500.000000	78.739	74.7443
7620.000000	78.591	73.0783
7750.000000	78.417	71.9346
7880.000000	78.215	71.1824
8000.000000	78.019	70.7568
8120.000000	77.881	70.7622
8250.000000	77.861	70.8849
8380.000000	77.994	69.8052
8500.000000	78.242	66.6001
8620.000000	78.581	60.7634
8750.000000	78.998	51.5760
8850.000000	79.329	42.8853
9000.000000	79.819	28.0529
9120.000000	80.181	15.2189
9250.000000	80.507	0.7779
9380.000000	80.736	-14.1478
9500.000000	80.836	-28.5143
9620.000000	80.805	-43.5157
9750.000000	80.607	-60.2337
9880.000000	80.240	-76.8929
10000.000000	79.766	-91.6681
10150.000000	79.031	-108.7446
10300.000000	78.184	-124.2505
10440.000000	77.327	-137.8799
10600.000000	76.303	-153.2650
10750.000000	75.338	-167.5952
10900.000000	74.412	178.5661
11060.000000	73.500	164.5854
11200.000000	72.772	152.9674
11380.000000	71.920	138.5608
11500.000000	71.394	128.8699
11720.000000	70.498	109.9487
11800.000000	70.201	102.7537
12060.000000	69.385	79.7159
12200.000000	69.046	67.9347
12410.000000	68.643	50.6246
12500.000000	68.504	43.2218
12650.000000	68.312	30.9321
12800.000000	68.158	18.7843
13150.000000	67.878	-9.2153
13200.000000	67.846	-13.2667
13400.000000	67.762	-29.8397
13600.000000	67.791	-47.2361
13800.000000	68.000	-65.6048
14000.000000	68.428	-84.7347
14300.000000	69.416	-115.2731
14500.000000	70.182	-138.5295
14750.000000	71.071	-173.3976
15000.000000	71.683	144.6244
15250.000000	71.813	97.3144
15500.000000	71.338	47.4967
15750.000000	70.316	-2.7758
16000.000000	68.949	-53.5531
16250.000000	67.491	-104.9378
16500.000000	66.169	-155.4924
