* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -35.9 dBFS, measurement signal peak level -35.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 11-Sep-2023 12:19:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Technics AZ80 Super Bass L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.752	52.4916
20.299999	79.634	52.0361
20.600000	79.558	51.4252
20.900000	79.532	50.6604
21.200001	79.559	49.7367
21.400000	79.601	49.0426
21.799999	79.732	47.5421
22.000000	79.815	46.7932
22.400000	80.002	45.4453
22.700001	80.163	44.6637
23.000000	80.344	44.1202
23.299999	80.543	43.7820
23.600000	80.754	43.5970
24.000000	81.035	43.5126
24.299999	81.231	43.5419
24.700001	81.461	43.7105
25.000000	81.610	43.9413
25.400000	81.781	44.3657
25.799999	81.926	44.8472
26.200001	82.046	45.2901
26.500000	82.117	45.5545
26.900000	82.189	45.7907
27.200001	82.226	45.8743
27.600000	82.259	45.8577
28.000000	82.279	45.6932
28.500000	82.299	45.2862
29.000000	82.326	44.6817
29.500000	82.373	43.9172
30.000000	82.450	43.0348
30.400000	82.532	42.2731
30.700001	82.605	41.6851
31.100000	82.713	40.9035
31.500000	82.829	40.1551
32.000000	82.976	39.3211
32.500000	83.121	38.6519
33.000000	83.264	38.1586
33.500000	83.402	37.7953
34.000000	83.533	37.4807
34.500000	83.647	37.1432
35.000000	83.737	36.7497
35.500000	83.800	36.3050
36.000000	83.837	35.8376
36.500000	83.860	35.3690
37.000000	83.879	34.8869
37.500000	83.903	34.3489
38.200001	83.939	33.4372
38.700001	83.962	32.6889
39.500000	83.987	31.4644
40.000000	84.001	30.7457
40.599998	84.018	29.9527
41.200001	84.038	29.2300
41.799999	84.058	28.5641
42.500000	84.079	27.8368
43.099998	84.095	27.2280
43.700001	84.107	26.5964
44.400002	84.114	25.8006
45.000000	84.111	25.0809
45.500000	84.102	24.4853
46.200001	84.087	23.6923
46.799999	84.078	23.0528
47.500000	84.078	22.3275
48.200001	84.084	21.6053
48.700001	84.089	21.0985
49.400002	84.092	20.4298
50.000000	84.089	19.9072
50.799999	84.079	19.2485
51.500000	84.067	18.6547
52.200001	84.051	18.0339
53.000000	84.030	17.3292
53.799999	84.011	16.6585
54.500000	83.998	16.0992
55.200001	83.986	15.5664
56.000000	83.972	14.9957
57.000000	83.955	14.3294
58.000000	83.936	13.6786
59.000000	83.913	13.0100
60.000000	83.886	12.3145
60.799999	83.865	11.7479
61.500000	83.846	11.2562
62.200001	83.828	10.7797
63.000000	83.809	10.2678
64.000000	83.788	9.6867
65.000000	83.770	9.1389
66.000000	83.751	8.5625
67.000000	83.723	7.9329
68.000000	83.682	7.2692
69.000000	83.632	6.5975
70.000000	83.578	5.9522
71.000000	83.528	5.3622
72.000000	83.486	4.8221
73.000000	83.451	4.3117
74.000000	83.414	3.8206
75.000000	83.372	3.3477
76.199997	83.313	2.7994
77.500000	83.243	2.1933
78.800003	83.164	1.5643
80.000000	83.082	1.0166
81.199997	82.997	0.5367
82.500000	82.909	0.0746
83.800003	82.822	-0.3757
85.000000	82.735	-0.7877
86.199997	82.637	-1.1574
87.500000	82.525	-1.4929
88.500000	82.438	-1.7284
90.000000	82.305	-2.0704
91.199997	82.196	-2.3006
92.500000	82.083	-2.4814
93.800003	81.980	-2.6158
95.000000	81.887	-2.7177
96.199997	81.792	-2.7938
97.500000	81.683	-2.8290
98.800003	81.574	-2.8109
100.000000	81.480	-2.7664
101.500000	81.376	-2.7144
103.000000	81.276	-2.6797
104.400002	81.174	-2.6118
106.000000	81.046	-2.4346
107.500000	80.919	-2.1894
109.000000	80.792	-1.9179
110.599998	80.658	-1.6201
112.000000	80.545	-1.3309
113.800003	80.407	-0.8987
115.000000	80.318	-0.5851
117.199997	80.152	0.0093
118.000000	80.089	0.2295
120.599998	79.881	0.9718
122.000000	79.775	1.3973
124.099998	79.639	2.0516
125.000000	79.588	2.3349
126.500000	79.509	2.8202
128.000000	79.433	3.3222
131.500000	79.247	4.4730
132.000000	79.217	4.6305
134.000000	79.093	5.2635
136.000000	78.962	5.9456
138.000000	78.833	6.7047
140.000000	78.713	7.5230
143.000000	78.547	8.7879
145.000000	78.438	9.6480
147.500000	78.305	10.7397
150.000000	78.181	11.7886
152.500000	78.065	12.7881
155.000000	77.951	13.7957
157.500000	77.836	14.8428
160.000000	77.721	15.9401
162.500000	77.609	17.0652
165.000000	77.493	18.1792
167.500000	77.375	19.2691
170.000000	77.266	20.3304
172.500000	77.174	21.3815
175.000000	77.085	22.4660
177.500000	76.989	23.5827
180.000000	76.888	24.6743
182.500000	76.787	25.7187
185.000000	76.684	26.7634
187.500000	76.577	27.8382
190.000000	76.466	28.9421
192.500000	76.361	30.0896
195.000000	76.270	31.2853
197.500000	76.193	32.4913
200.000000	76.124	33.6698
203.000000	76.053	35.0577
206.000000	75.995	36.4665
209.000000	75.940	37.9020
212.000000	75.882	39.3241
214.000000	75.839	40.2545
218.000000	75.747	42.0793
220.000000	75.701	42.9781
224.000000	75.618	44.7760
227.000000	75.561	46.1481
230.000000	75.505	47.5360
233.000000	75.453	48.9346
236.000000	75.408	50.3589
240.000000	75.351	52.3004
243.000000	75.304	53.7424
247.000000	75.238	55.5675
250.000000	75.193	56.8630
254.000000	75.135	58.5443
258.000000	75.067	60.2114
262.000000	74.993	61.8606
265.000000	74.941	63.0821
269.000000	74.880	64.6801
272.000000	74.843	65.8306
276.000000	74.806	67.2934
280.000000	74.782	68.7302
285.000000	74.754	70.6119
290.000000	74.715	72.5656
295.000000	74.671	74.3960
300.000000	74.629	76.1720
304.000000	74.594	77.6355
307.000000	74.568	78.7485
311.000000	74.534	80.2309
315.000000	74.503	81.6941
320.000000	74.469	83.4746
325.000000	74.438	85.2025
330.000000	74.406	86.9139
335.000000	74.380	88.6499
340.000000	74.357	90.4066
345.000000	74.328	92.1495
350.000000	74.290	93.8487
355.000000	74.243	95.4921
360.000000	74.192	97.1067
365.000000	74.147	98.7508
370.000000	74.120	100.4535
375.000000	74.109	102.1500
382.000000	74.103	104.3952
387.000000	74.104	105.9590
395.000000	74.115	108.5450
400.000000	74.118	110.1853
406.000000	74.104	112.0441
412.000000	74.076	113.7278
418.000000	74.046	115.3346
425.000000	74.006	117.2304
431.000000	73.959	118.8820
437.000000	73.902	120.5433
444.000000	73.827	122.4819
450.000000	73.762	124.1420
455.000000	73.711	125.5223
462.000000	73.632	127.4264
468.000000	73.555	129.0009
475.000000	73.454	130.7774
482.000000	73.342	132.5558
487.000000	73.255	133.8443
494.000000	73.129	135.6805
500.000000	73.023	137.2880
508.000000	72.888	139.4973
515.000000	72.779	141.5111
522.000000	72.675	143.6169
530.000000	72.560	146.1582
538.000000	72.456	148.8419
545.000000	72.377	151.2996
552.000000	72.306	153.8363
560.000000	72.237	156.7539
570.000000	72.176	160.2953
580.000000	72.141	163.7149
590.000000	72.126	167.0984
600.000000	72.126	170.4541
608.000000	72.124	173.0678
615.000000	72.123	175.2861
622.000000	72.132	177.4605
630.000000	72.159	179.9319
640.000000	72.210	-176.9773
650.000000	72.271	-173.8624
660.000000	72.334	-170.7253
670.000000	72.383	-167.6137
680.000000	72.413	-164.5537
690.000000	72.447	-161.5510
700.000000	72.497	-158.6263
710.000000	72.553	-155.7694
720.000000	72.601	-152.9261
730.000000	72.640	-150.0926
740.000000	72.681	-147.3243
750.000000	72.732	-144.6443
762.000000	72.802	-141.4636
775.000000	72.878	-138.0010
788.000000	72.956	-134.6180
800.000000	73.028	-131.5710
812.000000	73.100	-128.5732
