* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -35.0 dBFS, measurement signal peak level -33.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 11-Sep-2023 12:13:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Technics AZ80 Treble Plus L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	76.618	37.8616
20.299999	76.327	36.3891
20.600000	76.076	34.4290
20.900000	75.879	32.1605
21.200001	75.754	29.7705
21.400000	75.719	28.1953
21.799999	75.759	25.2261
22.000000	75.829	23.9092
22.400000	76.053	21.7561
22.700001	76.275	20.6411
23.000000	76.531	19.9727
23.299999	76.807	19.6871
23.600000	77.087	19.6991
24.000000	77.436	20.0513
24.299999	77.659	20.5121
24.700001	77.892	21.3812
25.000000	78.020	22.2259
25.400000	78.136	23.5682
25.799999	78.202	25.0320
26.200001	78.224	26.4566
26.500000	78.211	27.4206
26.900000	78.154	28.5068
27.200001	78.084	29.1467
27.600000	77.959	29.7449
28.000000	77.809	30.0363
28.500000	77.607	29.9661
29.000000	77.419	29.4346
29.500000	77.272	28.4859
30.000000	77.185	27.2251
30.400000	77.163	26.1103
30.700001	77.175	25.2783
31.100000	77.231	24.2442
31.500000	77.326	23.3378
32.000000	77.486	22.4162
32.500000	77.663	21.7571
33.000000	77.833	21.3884
33.500000	77.982	21.3034
34.000000	78.103	21.4435
34.500000	78.189	21.7230
35.000000	78.239	22.0635
35.500000	78.256	22.3880
36.000000	78.244	22.6279
36.500000	78.210	22.7348
37.000000	78.160	22.6887
37.500000	78.102	22.4981
38.200001	78.026	22.0332
38.700001	77.991	21.5897
39.500000	77.979	20.7313
40.000000	77.996	20.1413
40.599998	78.033	19.4515
41.200001	78.080	18.8561
41.799999	78.129	18.3900
42.500000	78.182	18.0076
43.099998	78.219	17.7902
43.700001	78.246	17.6166
44.400002	78.263	17.3918
45.000000	78.259	17.1638
45.500000	78.245	16.9711
46.200001	78.223	16.7080
46.799999	78.211	16.4533
47.500000	78.205	16.0783
48.200001	78.202	15.6534
48.700001	78.201	15.3632
49.400002	78.202	15.0059
50.000000	78.205	14.7261
50.799999	78.206	14.3371
51.500000	78.201	13.9571
52.200001	78.189	13.5492
53.000000	78.169	13.0810
53.799999	78.148	12.6453
54.500000	78.130	12.3081
55.200001	78.112	12.0205
56.000000	78.092	11.7607
57.000000	78.066	11.5324
58.000000	78.039	11.3408
59.000000	78.005	11.1153
60.000000	77.968	10.8423
60.799999	77.942	10.5570
61.500000	77.922	10.2442
62.200001	77.901	9.9043
63.000000	77.877	9.5479
64.000000	77.857	9.2011
65.000000	77.849	8.9108
66.000000	77.839	8.6225
67.000000	77.812	8.3594
68.000000	77.772	8.1366
69.000000	77.727	7.9321
70.000000	77.685	7.7202
71.000000	77.652	7.4773
72.000000	77.627	7.1982
73.000000	77.604	6.9085
74.000000	77.578	6.6346
75.000000	77.546	6.3812
76.199997	77.498	6.1019
77.500000	77.442	5.8270
78.800003	77.393	5.5673
80.000000	77.357	5.3178
81.199997	77.322	5.0543
82.500000	77.276	4.8100
83.800003	77.224	4.6583
85.000000	77.177	4.5526
86.199997	77.129	4.4061
87.500000	77.071	4.1856
88.500000	77.022	3.9972
90.000000	76.946	3.7255
91.199997	76.891	3.5134
92.500000	76.835	3.2838
93.800003	76.783	3.0718
95.000000	76.736	2.9059
96.199997	76.691	2.7734
97.500000	76.643	2.6491
98.800003	76.591	2.5101
100.000000	76.537	2.3603
101.500000	76.462	2.1798
103.000000	76.386	2.0484
104.400002	76.323	1.9661
106.000000	76.259	1.8946
107.500000	76.204	1.8419
109.000000	76.150	1.7756
110.599998	76.088	1.6689
112.000000	76.026	1.5689
113.800003	75.944	1.4654
115.000000	75.892	1.4159
117.199997	75.809	1.3758
118.000000	75.782	1.3816
120.599998	75.698	1.4796
122.000000	75.650	1.5694
124.099998	75.568	1.7108
125.000000	75.532	1.7707
126.500000	75.475	1.8742
128.000000	75.427	1.9795
131.500000	75.335	2.2310
132.000000	75.322	2.2721
134.000000	75.258	2.4533
136.000000	75.183	2.6524
138.000000	75.102	2.8491
