* Measurement data measured by REW V5.30.2
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Tipsy X EPZ Star & One, RMS Average 1
* Dated: 02-Jan-2024 11:12:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Tipsy X EPZ Star & One R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	74.664
20.600000	74.744
20.900000	74.865
21.200001	74.996
21.400000	75.081
21.799999	75.239
22.000000	75.310
22.400000	75.434
22.700001	75.512
23.000000	75.582
23.299999	75.646
23.600000	75.707
24.000000	75.791
24.299999	75.858
24.700001	75.954
25.000000	76.029
25.400000	76.132
25.799999	76.233
26.200001	76.329
26.500000	76.396
26.900000	76.477
27.200001	76.531
27.600000	76.598
28.000000	76.659
28.500000	76.733
29.000000	76.805
29.500000	76.876
30.000000	76.943
30.400000	76.993
30.700001	77.029
31.100000	77.073
31.500000	77.115
32.000000	77.165
32.500000	77.210
33.000000	77.252
33.500000	77.292
34.000000	77.331
34.500000	77.368
35.000000	77.403
35.500000	77.436
36.000000	77.466
36.500000	77.494
37.000000	77.519
37.500000	77.542
38.200001	77.571
38.700001	77.589
39.500000	77.616
40.000000	77.631
40.599998	77.648
41.200001	77.661
41.799999	77.673
42.500000	77.686
43.099998	77.695
43.700001	77.704
44.400002	77.712
45.000000	77.717
45.500000	77.720
46.200001	77.722
46.799999	77.720
47.500000	77.714
48.200001	77.702
48.700001	77.693
49.400002	77.681
50.000000	77.673
50.799999	77.661
51.500000	77.648
52.200001	77.633
53.000000	77.612
53.799999	77.588
54.500000	77.565
55.200001	77.541
56.000000	77.513
57.000000	77.475
58.000000	77.435
59.000000	77.394
60.000000	77.353
60.799999	77.320
61.500000	77.291
62.200001	77.261
63.000000	77.227
64.000000	77.183
65.000000	77.137
66.000000	77.089
67.000000	77.040
68.000000	76.991
69.000000	76.941
70.000000	76.891
71.000000	76.839
72.000000	76.787
73.000000	76.735
74.000000	76.681
75.000000	76.628
76.199997	76.563
77.500000	76.493
78.800003	76.423
80.000000	76.358
81.199997	76.293
82.500000	76.222
83.800003	76.154
85.000000	76.092
86.199997	76.032
87.500000	75.966
88.500000	75.915
90.000000	75.839
91.199997	75.779
92.500000	75.715
93.800003	75.651
95.000000	75.593
96.199997	75.534
97.500000	75.471
98.800003	75.408
100.000000	75.350
101.500000	75.279
103.000000	75.209
104.400002	75.147
106.000000	75.077
107.500000	75.013
109.000000	74.950
110.599998	74.883
112.000000	74.825
113.800003	74.749
115.000000	74.699
117.199997	74.608
118.000000	74.574
120.599998	74.464
122.000000	74.405
124.099998	74.315
125.000000	74.277
126.500000	74.214
128.000000	74.154
131.500000	74.018
132.000000	73.998
134.000000	73.920
136.000000	73.842
138.000000	73.765
140.000000	73.687
143.000000	73.569
145.000000	73.492
147.500000	73.399
150.000000	73.307
152.500000	73.216
155.000000	73.124
157.500000	73.033
160.000000	72.942
162.500000	72.851
165.000000	72.759
167.500000	72.667
170.000000	72.573
172.500000	72.480
175.000000	72.386
177.500000	72.294
180.000000	72.202
182.500000	72.110
185.000000	72.017
187.500000	71.927
190.000000	71.842
192.500000	71.762
195.000000	71.687
197.500000	71.614
200.000000	71.542
203.000000	71.453
206.000000	71.365
209.000000	71.278
212.000000	71.193
214.000000	71.139
218.000000	71.036
220.000000	70.986
224.000000	70.887
227.000000	70.812
230.000000	70.736
233.000000	70.660
236.000000	70.584
240.000000	70.485
243.000000	70.413
247.000000	70.322
250.000000	70.259
254.000000	70.184
258.000000	70.122
262.000000	70.073
265.000000	70.040
269.000000	69.995
272.000000	69.956
276.000000	69.897
280.000000	69.831
285.000000	69.739
290.000000	69.643
295.000000	69.550
300.000000	69.466
304.000000	69.409
307.000000	69.373
311.000000	69.336
315.000000	69.312
320.000000	69.297
325.000000	69.288
330.000000	69.273
335.000000	69.245
340.000000	69.204
345.000000	69.152
350.000000	69.093
355.000000	69.027
360.000000	68.958
365.000000	68.888
370.000000	68.820
375.000000	68.754
382.000000	68.669
387.000000	68.612
395.000000	68.527
400.000000	68.477
406.000000	68.420
412.000000	68.365
418.000000	68.312
425.000000	68.252
431.000000	68.201
437.000000	68.152
444.000000	68.099
450.000000	68.057
455.000000	68.025
462.000000	67.983
468.000000	67.949
475.000000	67.916
482.000000	67.889
487.000000	67.872
494.000000	67.852
500.000000	67.834
508.000000	67.808
515.000000	67.781
522.000000	67.751
530.000000	67.717
538.000000	67.685
545.000000	67.658
552.000000	67.632
560.000000	67.603
570.000000	67.570
580.000000	67.540
590.000000	67.515
600.000000	67.492
608.000000	67.475
615.000000	67.459
622.000000	67.445
630.000000	67.430
640.000000	67.417
650.000000	67.412
660.000000	67.411
670.000000	67.410
680.000000	67.409
690.000000	67.411
700.000000	67.415
710.000000	67.422
720.000000	67.432
730.000000	67.444
740.000000	67.458
750.000000	67.472
762.000000	67.490
775.000000	67.515
788.000000	67.550
800.000000	67.589
812.000000	67.632
825.000000	67.683
838.000000	67.741
850.000000	67.799
862.000000	67.859
875.000000	67.929
885.000000	67.987
900.000000	68.081
912.000000	68.159
925.000000	68.248
938.000000	68.339
950.000000	68.427
962.000000	68.518
975.000000	68.621
988.000000	68.727
1000.000000	68.826
1015.000000	68.950
1030.000000	69.074
1044.000000	69.192
1060.000000	69.330
1075.000000	69.465
1090.000000	69.603
1106.000000	69.751
1120.000000	69.880
1138.000000	70.046
1150.000000	70.158
1172.000000	70.362
1180.000000	70.435
1206.000000	70.659
1220.000000	70.773
1241.000000	70.941
1250.000000	71.012
1265.000000	71.130
1280.000000	71.246
1315.000000	71.504
1320.000000	71.540
1340.000000	71.684
1360.000000	71.823
1380.000000	71.957
1400.000000	72.088
1430.000000	72.278
1450.000000	72.402
1475.000000	72.559
1500.000000	72.720
1525.000000	72.887
1550.000000	73.059
1575.000000	73.236
1600.000000	73.418
1625.000000	73.606
1650.000000	73.798
1675.000000	73.989
1700.000000	74.178
1725.000000	74.369
1750.000000	74.567
1775.000000	74.772
1800.000000	74.982
1825.000000	75.193
1850.000000	75.403
1875.000000	75.610
1900.000000	75.818
1925.000000	76.027
1950.000000	76.237
1975.000000	76.445
2000.000000	76.653
2030.000000	76.902
2060.000000	77.149
2090.000000	77.392
2120.000000	77.632
2140.000000	77.792
2180.000000	78.111
2200.000000	78.265
2240.000000	78.558
2270.000000	78.764
2300.000000	78.962
2330.000000	79.153
2360.000000	79.331
2400.000000	79.545
2430.000000	79.689
2470.000000	79.854
2500.000000	79.956
2540.000000	80.064
2580.000000	80.145
2620.000000	80.197
2650.000000	80.215
2690.000000	80.213
2720.000000	80.194
2760.000000	80.152
2800.000000	80.092
2850.000000	79.999
2900.000000	79.891
2950.000000	79.768
3000.000000	79.634
3040.000000	79.526
3070.000000	79.447
3110.000000	79.344
3150.000000	79.241
3200.000000	79.116
3250.000000	78.994
3300.000000	78.875
3350.000000	78.765
3400.000000	78.670
3450.000000	78.591
3500.000000	78.526
3550.000000	78.475
3600.000000	78.437
3650.000000	78.412
3700.000000	78.399
3750.000000	78.396
3820.000000	78.406
3870.000000	78.419
3950.000000	78.455
4000.000000	78.490
4060.000000	78.546
4120.000000	78.607
4180.000000	78.670
4250.000000	78.749
4310.000000	78.813
4370.000000	78.869
4440.000000	78.921
4500.000000	78.953
4550.000000	78.965
4620.000000	78.954
4680.000000	78.916
4750.000000	78.834
4820.000000	78.709
4870.000000	78.590
4940.000000	78.382
5000.000000	78.169
5080.000000	77.837
5150.000000	77.511
5220.000000	77.158
5300.000000	76.727
5380.000000	76.273
5450.000000	75.867
5520.000000	75.463
5600.000000	75.004
5700.000000	74.448
5800.000000	73.926
5900.000000	73.439
6000.000000	72.991
6080.000000	72.668
6150.000000	72.411
6220.000000	72.180
6300.000000	71.948
6400.000000	71.714
6500.000000	71.543
6600.000000	71.435
6700.000000	71.395
6800.000000	71.429
6900.000000	71.543
7000.000000	71.737
7100.000000	72.015
7200.000000	72.379
7300.000000	72.820
7400.000000	73.315
7500.000000	73.831
7620.000000	74.423
7750.000000	74.944
7880.000000	75.265
8000.000000	75.335
8120.000000	75.157
8250.000000	74.651
8380.000000	73.812
8500.000000	72.779
8620.000000	71.571
8750.000000	70.166
8850.000000	69.078
9000.000000	67.517
9120.000000	66.373
9250.000000	65.262
9380.000000	64.280
9500.000000	63.469
9620.000000	62.732
9750.000000	62.009
9880.000000	61.368
10000.000000	60.850
10150.000000	60.291
10300.000000	59.818
10440.000000	59.447
10600.000000	59.112
10750.000000	58.888
10900.000000	58.755
11060.000000	58.712
11200.000000	58.755
11380.000000	58.923
11500.000000	59.106
11720.000000	59.598
11800.000000	59.831
12060.000000	60.808
12200.000000	61.493
12410.000000	62.754
12500.000000	63.374
12650.000000	64.482
12800.000000	65.619
13150.000000	67.823
13200.000000	68.032
13400.000000	68.526
13600.000000	68.521
13800.000000	68.233
14000.000000	67.929
14300.000000	67.662
14500.000000	67.496
14750.000000	67.136
15000.000000	66.590
15250.000000	65.946
15500.000000	65.298
15750.000000	64.676
16000.000000	64.054
16250.000000	63.383
16500.000000	62.604
16750.000000	61.669
17000.000000	60.581
17250.000000	59.405
17500.000000	58.243
17750.000000	57.184
18000.000000	56.290
18250.000000	55.595
18500.000000	55.114
18750.000000	54.830
19000.000000	54.692
19250.000000	54.621
19500.000000	54.555
19750.000000	54.480
20000.000000	54.426
