* Measurement data measured by REW V5.20.13
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -35.1 dBFS, measurement signal peak level -34.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06-Apr-2023 23:30:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tronsmart Onyx Pure L
* Measurement: Tronsmart Onyx Pure L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	62.527	-87.4871
20.600000	62.597	-87.8767
20.900000	62.763	-88.6522
21.200001	62.936	-89.3547
21.400000	63.045	-89.7266
21.799999	63.241	-90.2835
22.000000	63.327	-90.5109
22.400000	63.480	-90.9866
22.700001	63.583	-91.4317
23.000000	63.681	-91.9851
23.299999	63.781	-92.6334
23.600000	63.886	-93.3430
24.000000	64.038	-94.3149
24.299999	64.161	-95.0112
24.700001	64.331	-95.8575
25.000000	64.459	-96.4300
25.400000	64.623	-97.1365
25.799999	64.773	-97.8229
26.200001	64.907	-98.5253
26.500000	64.999	-99.0711
26.900000	65.117	-99.8233
27.200001	65.205	-100.4016
27.600000	65.326	-101.1873
28.000000	65.452	-101.9864
28.500000	65.612	-102.9951
29.000000	65.768	-103.9983
29.500000	65.922	-104.9922
30.000000	66.076	-106.0008
30.400000	66.198	-106.8392
30.700001	66.288	-107.4876
31.100000	66.402	-108.3607
31.500000	66.508	-109.2138
32.000000	66.633	-110.2115
32.500000	66.757	-111.1288
33.000000	66.883	-112.0070
33.500000	67.008	-112.8870
34.000000	67.131	-113.7777
34.500000	67.250	-114.6678
35.000000	67.368	-115.5601
35.500000	67.486	-116.4790
36.000000	67.603	-117.4414
36.500000	67.715	-118.4334
37.000000	67.822	-119.4197
37.500000	67.926	-120.3761
38.200001	68.067	-121.6638
38.700001	68.162	-122.5572
39.500000	68.306	-123.9411
40.000000	68.394	-124.7840
40.599998	68.499	-125.7999
41.200001	68.604	-126.8419
41.799999	68.703	-127.9005
42.500000	68.814	-129.1293
43.099998	68.907	-130.1760
43.700001	68.998	-131.2323
44.400002	69.102	-132.4750
45.000000	69.185	-133.5248
45.500000	69.253	-134.3761
46.200001	69.346	-135.5474
46.799999	69.423	-136.5646
47.500000	69.505	-137.7854
48.200001	69.582	-139.0197
48.700001	69.636	-139.8951
49.400002	69.715	-141.1145
50.000000	69.782	-142.1657
50.799999	69.861	-143.5807
51.500000	69.916	-144.8253
52.200001	69.960	-146.0701
53.000000	70.002	-147.4847
53.799999	70.043	-148.8813
54.500000	70.084	-150.0805
55.200001	70.129	-151.2484
56.000000	70.184	-152.5490
57.000000	70.249	-154.1681
58.000000	70.301	-155.7977
59.000000	70.344	-157.4060
60.000000	70.384	-158.9800
60.799999	70.416	-160.2311
61.500000	70.444	-161.3389
62.200001	70.471	-162.4629
63.000000	70.501	-163.7477
64.000000	70.538	-165.3170
65.000000	70.573	-166.8433
66.000000	70.605	-168.3645
67.000000	70.632	-169.9069
68.000000	70.651	-171.4431
69.000000	70.662	-172.9288
70.000000	70.669	-174.3613
71.000000	70.672	-175.7654
72.000000	70.669	-177.1478
73.000000	70.662	-178.5070
74.000000	70.659	-179.8626
75.000000	70.658	178.7717
76.199997	70.656	177.1448
77.500000	70.650	175.4118
78.800003	70.642	173.6635
80.000000	70.630	172.0346
81.199997	70.612	170.4320
82.500000	70.587	168.7319
83.800003	70.562	167.0790
85.000000	70.535	165.6051
86.199997	70.502	164.1568
87.500000	70.464	162.5721
88.500000	70.437	161.3255
90.000000	70.394	159.4357
91.199997	70.356	157.9410
92.500000	70.312	156.3496
93.800003	70.265	154.7804
95.000000	70.217	153.3503
96.199997	70.167	151.9396
97.500000	70.112	150.4282
98.800003	70.059	148.9229
100.000000	70.007	147.5396
101.500000	69.937	145.8362
103.000000	69.865	144.1656
104.400002	69.798	142.6250
106.000000	69.723	140.8759
107.500000	69.651	139.2471
109.000000	69.574	137.6365
110.599998	69.489	135.9431
112.000000	69.413	134.4915
113.800003	69.316	132.6691
115.000000	69.250	131.4703
117.199997	69.127	129.2907
118.000000	69.081	128.5045
120.599998	68.924	125.9813
122.000000	68.837	124.6506
124.099998	68.707	122.7122
125.000000	68.652	121.9049
126.500000	68.559	120.5887
128.000000	68.468	119.3091
131.500000	68.256	116.3989
132.000000	68.226	115.9847
134.000000	68.104	114.3449
136.000000	67.985	112.7523
138.000000	67.867	111.1930
140.000000	67.753	109.6442
143.000000	67.588	107.3872
145.000000	67.480	105.9454
147.500000	67.341	104.1507
150.000000	67.198	102.3548
152.500000	67.054	100.6266
155.000000	66.911	98.9637
157.500000	66.771	97.3118
160.000000	66.641	95.6537
162.500000	66.523	94.0147
165.000000	66.417	92.4043
167.500000	66.317	90.7925
170.000000	66.222	89.1731
172.500000	66.131	87.5785
175.000000	66.045	86.0327
177.500000	65.962	84.5221
180.000000	65.878	83.0067
182.500000	65.790	81.4572
185.000000	65.696	79.8837
187.500000	65.595	78.3275
190.000000	65.491	76.8247
192.500000	65.396	75.3887
195.000000	65.321	74.0132
197.500000	65.269	72.6752
200.000000	65.243	71.3419
203.000000	65.236	69.7264
206.000000	65.241	68.1374
209.000000	65.248	66.6080
212.000000	65.252	65.0937
214.000000	65.251	64.0687
