* Measurement data measured by REW V5.20.13
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -30.9 dBFS, measurement signal peak level -30.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06-Apr-2023 23:31:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Tronsmart Onyx Pure R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	61.887	-89.9322
20.600000	61.947	-90.2575
20.900000	62.091	-90.9278
21.200001	62.243	-91.6092
21.400000	62.341	-92.0281
21.799999	62.525	-92.7852
22.000000	62.611	-93.1353
22.400000	62.772	-93.8250
22.700001	62.888	-94.3579
23.000000	63.002	-94.9133
23.299999	63.117	-95.4852
23.600000	63.235	-96.0668
24.000000	63.397	-96.8519
24.299999	63.522	-97.4540
24.700001	63.688	-98.2910
25.000000	63.807	-98.9517
25.400000	63.950	-99.8685
25.799999	64.075	-100.7903
26.200001	64.184	-101.6685
26.500000	64.261	-102.2774
26.900000	64.365	-103.0146
27.200001	64.445	-103.5177
27.600000	64.558	-104.1369
28.000000	64.676	-104.7133
28.500000	64.827	-105.3932
29.000000	64.980	-106.0560
29.500000	65.137	-106.7418
30.000000	65.293	-107.4857
30.400000	65.414	-108.1222
30.700001	65.501	-108.6110
31.100000	65.610	-109.2525
31.500000	65.713	-109.8571
32.000000	65.837	-110.5356
32.500000	65.960	-111.1247
33.000000	66.086	-111.6427
33.500000	66.214	-112.1182
34.000000	66.347	-112.5861
34.500000	66.480	-113.0787
35.000000	66.610	-113.6119
35.500000	66.735	-114.1777
36.000000	66.855	-114.7514
36.500000	66.971	-115.3143
37.000000	67.085	-115.8699
37.500000	67.196	-116.4395
38.200001	67.336	-117.3015
38.700001	67.425	-117.9728
39.500000	67.555	-119.1262
40.000000	67.633	-119.8799
40.599998	67.729	-120.7954
41.200001	67.827	-121.7021
41.799999	67.928	-122.5957
42.500000	68.043	-123.6398
43.099998	68.135	-124.5509
43.700001	68.219	-125.4769
44.400002	68.308	-126.5687
45.000000	68.378	-127.5102
