* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -38.8 dBFS, measurement signal peak level -37.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 11-Jul-2023 15:10:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TrueFree T3 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.344	155.4906
20.299999	62.297	167.4993
20.600000	62.266	178.7961
20.900000	62.186	-170.5287
21.200001	62.014	-160.0964
21.400000	61.856	-153.0420
21.799999	61.491	-138.6909
22.000000	61.305	-131.4944
22.400000	60.926	-117.4614
22.700001	60.569	-107.2068
23.000000	60.080	-96.5745
23.299999	59.474	-84.8651
23.600000	58.840	-71.9824
24.000000	58.123	-53.6603
24.299999	57.736	-39.8810
24.700001	57.339	-21.8066
25.000000	57.072	-8.0967
25.400000	56.816	10.7361
25.799999	56.793	29.3853
26.200001	56.922	46.6292
26.500000	56.994	58.6173
26.900000	56.991	74.1223
27.200001	56.964	85.8643
27.600000	57.000	101.5270
28.000000	57.132	116.2883
28.500000	57.228	132.6819
29.000000	57.031	147.8021
29.500000	56.544	163.2290
30.000000	55.914	179.3391
30.400000	55.351	-167.6080
30.700001	54.871	-157.6897
31.100000	54.113	-143.8102
31.500000	53.242	-128.7919
32.000000	52.131	-108.7581
32.500000	51.092	-88.1586
33.000000	49.999	-65.9316
33.500000	48.829	-39.7522
34.000000	48.067	-10.1442
34.500000	48.174	18.5411
35.000000	48.802	42.8459
35.500000	49.391	62.8025
36.000000	49.788	80.4932
36.500000	50.092	97.3494
37.000000	50.417	113.3052
37.500000	50.738	127.4551
38.200001	50.945	143.3269
38.700001	50.814	152.1808
39.500000	50.159	162.5626
40.000000	49.539	166.0959
40.599998	48.664	166.3982
41.200001	47.804	161.8937
41.799999	47.232	153.0483
42.500000	47.180	139.3772
43.099998	47.465	127.6619
43.700001	47.698	118.9144
44.400002	47.754	114.9275
45.000000	47.763	116.7075
45.500000	47.868	120.2054
46.200001	48.148	125.3679
46.799999	48.396	128.5286
47.500000	48.625	130.5221
48.200001	48.860	131.2334
48.700001	49.099	131.1881
49.400002	49.557	130.3905
50.000000	49.992	129.0840
50.799999	50.494	127.0833
51.500000	50.841	125.9283
52.200001	51.186	125.4507
