* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -38.8 dBFS, measurement signal peak level -36.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 11-Jul-2023 15:14:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TrueFree T3 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.129	154.5161
20.299999	61.738	165.9436
20.600000	61.387	177.9417
20.900000	61.126	-170.0005
21.200001	60.924	-158.3308
21.400000	60.784	-150.7352
21.799999	60.472	-135.7599
22.000000	60.299	-128.3262
22.400000	59.933	-113.6498
22.700001	59.613	-102.8438
23.000000	59.199	-91.8176
23.299999	58.697	-79.9075
23.600000	58.198	-66.9462
24.000000	57.735	-48.8149
24.299999	57.597	-35.8756
24.700001	57.500	-20.6021
25.000000	57.285	-10.0253
25.400000	56.678	5.1292
25.799999	55.918	23.4956
26.200001	55.506	44.0344
26.500000	55.564	58.7401
26.900000	55.875	75.3663
27.200001	55.988	85.7578
27.600000	55.791	98.9254
28.000000	55.319	113.8237
28.500000	54.865	134.8079
29.000000	54.799	154.3975
29.500000	54.641	171.3091
30.000000	54.106	-171.1873
30.400000	53.648	-155.7185
30.700001	53.444	-144.2200
31.100000	53.302	-130.6688
31.500000	53.055	-119.3110
32.000000	52.253	-105.6373
32.500000	50.817	-88.6707
33.000000	48.939	-66.1676
33.500000	46.985	-38.1494
34.000000	45.583	-6.1360
34.500000	45.472	26.9614
35.000000	46.626	57.6870
35.500000	48.190	82.8448
36.000000	49.482	101.2478
36.500000	50.273	114.3015
37.000000	50.592	124.8359
37.500000	50.585	134.7108
38.200001	50.230	147.8457
38.700001	49.744	156.3313
39.500000	48.588	167.6241
40.000000	47.758	171.7206
40.599998	46.743	171.5945
41.200001	45.678	166.3827
41.799999	44.796	159.2018
42.500000	44.831	151.7179
43.099998	45.849	146.1249
43.700001	47.011	140.8606
44.400002	47.998	136.2810
45.000000	48.500	134.7589
45.500000	48.756	135.0217
46.200001	48.950	136.5923
46.799999	49.008	138.2067
47.500000	49.062	140.1321
48.200001	49.323	141.8186
48.700001	49.696	142.2321
49.400002	50.315	140.7946
50.000000	50.723	137.9966
50.799999	50.965	134.1110
