* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24-Aug-2024 15:09:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Ultrasonic 336X L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	76.357	62.2342
20.600000	76.368	61.7737
20.900000	76.390	61.1146
21.200001	76.423	60.3135
21.400000	76.452	59.7294
21.799999	76.521	58.5360
22.000000	76.561	57.9710
22.400000	76.648	56.9895
22.700001	76.717	56.4135
23.000000	76.787	55.9648
23.299999	76.853	55.6075
23.600000	76.909	55.2969
24.000000	76.963	54.8893
24.299999	76.987	54.5596
24.700001	77.002	54.0764
25.000000	77.008	53.6862
25.400000	77.020	53.1428
25.799999	77.046	52.5894
26.200001	77.087	52.0464
26.500000	77.123	51.6599
26.900000	77.170	51.1881
27.200001	77.201	50.8712
27.600000	77.232	50.4902
28.000000	77.252	50.1337
28.500000	77.266	49.6794
29.000000	77.278	49.1919
29.500000	77.294	48.6947
30.000000	77.321	48.2405
30.400000	77.350	47.9312
30.700001	77.377	47.7275
31.100000	77.415	47.4720
31.500000	77.454	47.2048
32.000000	77.498	46.8213
32.500000	77.532	46.3943
33.000000	77.557	45.9816
33.500000	77.581	45.6418
34.000000	77.608	45.3886
34.500000	77.639	45.1877
35.000000	77.669	44.9900
35.500000	77.693	44.7671
36.000000	77.710	44.5219
36.500000	77.722	44.2752
37.000000	77.737	44.0463
37.500000	77.756	43.8394
38.200001	77.789	43.5648
38.700001	77.814	43.3581
39.500000	77.846	42.9930
40.000000	77.861	42.7551
40.599998	77.875	42.4901
41.200001	77.886	42.2767
41.799999	77.898	42.1174
42.500000	77.921	41.9509
43.099998	77.948	41.7790
43.700001	77.978	41.5768
44.400002	78.011	41.3411
45.000000	78.033	41.1700
45.500000	78.046	41.0549
46.200001	78.055	40.9200
46.799999	78.059	40.8052
47.500000	78.062	40.6635
48.200001	78.068	40.5426
48.700001	78.077	40.4798
49.400002	78.095	40.3960
50.000000	78.109	40.2886
50.799999	78.117	40.0868
51.500000	78.113	39.9071
52.200001	78.106	39.7713
53.000000	78.101	39.6760
53.799999	78.103	39.6111
54.500000	78.109	39.5486
55.200001	78.117	39.4767
56.000000	78.124	39.4022
57.000000	78.129	39.3374
58.000000	78.131	39.2791
59.000000	78.137	39.1890
60.000000	78.148	39.0707
60.799999	78.151	38.9843
61.500000	78.146	38.9211
62.200001	78.136	38.8592
63.000000	78.122	38.7792
64.000000	78.111	38.6661
65.000000	78.106	38.5555
66.000000	78.102	38.4559
67.000000	78.098	38.3645
68.000000	78.099	38.2811
69.000000	78.104	38.1976
70.000000	78.104	38.1117
71.000000	78.096	38.0304
72.000000	78.082	37.9589
73.000000	78.066	37.8972
74.000000	78.051	37.8308
75.000000	78.040	37.7565
76.199997	78.031	37.6835
77.500000	78.018	37.6364
78.800003	77.992	37.6236
80.000000	77.958	37.6353
81.199997	77.921	37.6339
82.500000	77.892	37.5992
83.800003	77.878	37.5702
85.000000	77.866	37.5871
86.199997	77.849	37.6448
87.500000	77.823	37.7188
88.500000	77.801	37.7745
90.000000	77.763	37.8588
91.199997	77.733	37.9040
92.500000	77.703	37.9366
93.800003	77.676	37.9843
95.000000	77.653	38.0555
96.199997	77.629	38.1649
97.500000	77.600	38.3199
98.800003	77.568	38.4727
100.000000	77.534	38.5890
101.500000	77.485	38.7282
103.000000	77.434	38.8950
104.400002	77.388	39.0893
106.000000	77.339	39.3445
107.500000	77.294	39.5544
109.000000	77.248	39.7001
110.599998	77.197	39.8208
112.000000	77.150	39.9503
113.800003	77.091	40.1877
115.000000	77.053	40.3694
117.199997	76.987	40.6557
118.000000	76.963	40.7378
120.599998	76.886	41.0094
122.000000	76.841	41.2066
124.099998	76.769	41.5922
125.000000	76.737	41.7825
126.500000	76.684	42.1041
128.000000	76.633	42.4067
131.500000	76.529	43.1424
132.000000	76.514	43.2611
134.000000	76.448	43.7533
136.000000	76.382	44.2469
138.000000	76.324	44.7324
140.000000	76.272	45.2070
143.000000	76.199	45.9257
145.000000	76.147	46.4384
147.500000	76.071	47.0830
150.000000	75.988	47.7193
152.500000	75.907	48.3906
155.000000	75.834	49.1180
157.500000	75.762	49.9196
160.000000	75.691	50.7733
