* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Sep-2024 18:20:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Ultrasonic Club L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.993	35.2884
20.600000	81.029	35.2072
20.900000	81.070	35.1406
21.200001	81.109	35.0984
21.400000	81.133	35.0756
21.799999	81.172	35.0120
22.000000	81.188	34.9602
22.400000	81.218	34.8038
22.700001	81.242	34.6410
23.000000	81.270	34.4459
23.299999	81.305	34.2264
23.600000	81.346	33.9894
24.000000	81.413	33.6531
24.299999	81.469	33.3877
24.700001	81.546	33.0179
25.000000	81.602	32.7301
25.400000	81.673	32.3362
25.799999	81.740	31.9338
26.200001	81.805	31.5211
26.500000	81.855	31.2002
26.900000	81.923	30.7505
27.200001	81.976	30.3956
27.600000	82.044	29.9064
28.000000	82.109	29.4155
28.500000	82.182	28.8255
29.000000	82.249	28.2660
29.500000	82.313	27.7086
30.000000	82.373	27.1207
30.400000	82.416	26.6245
30.700001	82.445	26.2432
31.100000	82.479	25.7302
31.500000	82.510	25.2129
32.000000	82.544	24.5481
32.500000	82.571	23.8480
33.000000	82.591	23.1174
33.500000	82.605	22.3819
34.000000	82.617	21.6656
34.500000	82.632	20.9746
35.000000	82.648	20.3004
35.500000	82.663	19.6332
36.000000	82.676	18.9711
36.500000	82.685	18.3195
37.000000	82.691	17.6849
37.500000	82.699	17.0701
38.200001	82.711	16.2369
38.700001	82.718	15.6577
39.500000	82.721	14.7643
40.000000	82.716	14.2252
40.599998	82.707	13.5792
41.200001	82.696	12.9156
41.799999	82.684	12.2405
42.500000	82.670	11.4746
43.099998	82.661	10.8555
43.700001	82.652	10.2647
44.400002	82.638	9.5951
45.000000	82.623	9.0330
45.500000	82.608	8.5750
46.200001	82.587	7.9610
46.799999	82.570	7.4772
47.500000	82.552	6.9821
48.200001	82.535	6.5444
48.700001	82.521	6.2300
49.400002	82.497	5.7364
50.000000	82.466	5.2557
50.799999	82.416	4.5876
51.500000	82.372	4.0304
52.200001	82.335	3.5124
53.000000	82.298	2.9529
53.799999	82.262	2.4151
54.500000	82.229	1.9649
55.200001	82.194	1.5378
56.000000	82.155	1.0649
57.000000	82.106	0.4676
58.000000	82.056	-0.1250
59.000000	82.008	-0.6891
60.000000	81.966	-1.2286
60.799999	81.935	-1.6559
61.500000	81.909	-2.0349
62.200001	81.880	-2.4106
63.000000	81.844	-2.8119
64.000000	81.798	-3.2515
65.000000	81.755	-3.6511
66.000000	81.715	-4.0524
67.000000	81.676	-4.4677
68.000000	81.636	-4.8771
69.000000	81.595	-5.2557
70.000000	81.553	-5.5976
71.000000	81.508	-5.9247
72.000000	81.461	-6.2691
73.000000	81.416	-6.6341
74.000000	81.379	-6.9867
75.000000	81.347	-7.2866
76.199997	81.312	-7.5729
77.500000	81.273	-7.8521
78.800003	81.230	-8.1238
80.000000	81.190	-8.3520
81.199997	81.153	-8.5735
82.500000	81.111	-8.8074
83.800003	81.070	-9.0263
85.000000	81.034	-9.2380
86.199997	80.998	-9.4765
87.500000	80.957	-9.7429
88.500000	80.924	-9.9382
90.000000	80.876	-10.2293
91.199997	80.839	-10.4747
92.500000	80.800	-10.7380
93.800003	80.761	-10.9655
95.000000	80.728	-11.1375
96.199997	80.698	-11.2938
97.500000	80.669	-11.4598
98.800003	80.639	-11.6241
100.000000	80.610	-11.7894
101.500000	80.568	-12.0282
103.000000	80.519	-12.2671
104.400002	80.470	-12.4673
106.000000	80.419	-12.7022
107.500000	80.379	-12.9570
109.000000	80.340	-13.2280
110.599998	80.295	-13.5007
112.000000	80.253	-13.7069
113.800003	80.196	-13.9025
115.000000	80.158	-14.0014
117.199997	80.090	-14.1878
118.000000	80.065	-14.2660
120.599998	79.987	-14.5461
122.000000	79.947	-14.6862
124.099998	79.892	-14.8402
125.000000	79.868	-14.8904
126.500000	79.827	-14.9755
128.000000	79.784	-15.0741
131.500000	79.678	-15.3431
132.000000	79.662	-15.3829
134.000000	79.599	-15.5332
136.000000	79.535	-15.6294
138.000000	79.474	-15.6540
140.000000	79.417	-15.6385
143.000000	79.336	-15.5829
145.000000	79.284	-15.5361
147.500000	79.217	-15.4693
150.000000	79.141	-15.4069
152.500000	79.063	-15.3557
155.000000	78.992	-15.3309
157.500000	78.930	-15.2826
160.000000	78.871	-15.1613
162.500000	78.813	-14.9821
165.000000	78.751	-14.7629
167.500000	78.686	-14.5435
170.000000	78.618	-14.3616
172.500000	78.545	-14.2278
175.000000	78.469	-14.0931
177.500000	78.390	-13.9396
180.000000	78.313	-13.8077
182.500000	78.245	-13.6956
185.000000	78.186	-13.5714
187.500000	78.135	-13.4320
190.000000	78.087	-13.2899
192.500000	78.040	-13.1579
195.000000	77.994	-13.0434
197.500000	77.949	-12.9414
200.000000	77.901	-12.8537
203.000000	77.840	-12.7924
206.000000	77.788	-12.7578
209.000000	77.745	-12.7084
212.000000	77.707	-12.6555
214.000000	77.682	-12.6315
218.000000	77.627	-12.6111
220.000000	77.595	-12.6143
224.000000	77.528	-12.6460
227.000000	77.480	-12.6503
230.000000	77.434	-12.5824
233.000000	77.390	-12.4107
236.000000	77.349	-12.1440
240.000000	77.303	-11.6999
243.000000	77.282	-11.3534
247.000000	77.280	-10.9662
250.000000	77.295	-10.7836
254.000000	77.323	-10.7127
258.000000	77.348	-10.8015
262.000000	77.366	-11.0010
265.000000	77.375	-11.1798
269.000000	77.378	-11.3980
272.000000	77.372	-11.5439
276.000000	77.361	-11.7335
280.000000	77.349	-11.9259
285.000000	77.334	-12.1741
290.000000	77.319	-12.4397
295.000000	77.304	-12.6976
300.000000	77.288	-12.9596
304.000000	77.272	-13.1890
307.000000	77.260	-13.3674
311.000000	77.243	-13.6094
315.000000	77.226	-13.8606
320.000000	77.207	-14.1990
325.000000	77.192	-14.5526
330.000000	77.180	-14.9057
335.000000	77.170	-15.2412
340.000000	77.156	-15.5611
345.000000	77.139	-15.8974
350.000000	77.123	-16.2296
355.000000	77.107	-16.5416
360.000000	77.086	-16.8570
365.000000	77.063	-17.1826
370.000000	77.042	-17.5213
375.000000	77.024	-17.8731
382.000000	77.009	-18.3392
387.000000	77.006	-18.6168
395.000000	77.005	-19.0278
400.000000	77.003	-19.3193
406.000000	77.002	-19.7147
412.000000	77.009	-20.1509
418.000000	77.021	-20.6273
425.000000	77.036	-21.2246
431.000000	77.054	-21.7360
437.000000	77.083	-22.2109
444.000000	77.126	-22.7231
450.000000	77.165	-23.1791
455.000000	77.197	-23.6060
462.000000	77.239	-24.2689
468.000000	77.272	-24.8552
475.000000	77.307	-25.5420
482.000000	77.337	-26.2655
487.000000	77.357	-26.8061
494.000000	77.386	-27.5705
500.000000	77.415	-28.2357
508.000000	77.461	-29.1534
515.000000	77.507	-29.9352
522.000000	77.561	-30.6683
530.000000	77.628	-31.4886
538.000000	77.694	-32.3712
545.000000	77.747	-33.2087
552.000000	77.797	-34.0869
560.000000	77.853	-35.1130
570.000000	77.922	-36.3970
580.000000	77.993	-37.6944
590.000000	78.069	-39.0328
600.000000	78.148	-40.3994
608.000000	78.211	-41.4822
615.000000	78.265	-42.4094
622.000000	78.321	-43.3265
630.000000	78.387	-44.3780
640.000000	78.466	-45.7063
650.000000	78.537	-47.0848
660.000000	78.602	-48.5564
670.000000	78.668	-50.1050
680.000000	78.740	-51.7001
690.000000	78.818	-53.3278
700.000000	78.895	-54.9929
710.000000	78.966	-56.7066
720.000000	79.029	-58.4816
730.000000	79.085	-60.3273
740.000000	79.127	-62.2160
750.000000	79.154	-64.0997
762.000000	79.172	-66.3021
775.000000	79.186	-68.5398
788.000000	79.203	-70.5513
800.000000	79.220	-72.1719
812.000000	79.235	-73.6224
825.000000	79.246	-75.1468
838.000000	79.251	-76.7174
850.000000	79.250	-78.2005
862.000000	79.243	-79.6947
875.000000	79.230	-81.3101
885.000000	79.216	-82.5406
900.000000	79.192	-84.3365
912.000000	79.175	-85.7173
925.000000	79.158	-87.1635
938.000000	79.147	-88.5489
950.000000	79.143	-89.7470
962.000000	79.141	-90.8725
975.000000	79.139	-92.0619
988.000000	79.132	-93.2635
1000.000000	79.123	-94.4042
1015.000000	79.113	-95.8726
1030.000000	79.115	-97.3633
1044.000000	79.127	-98.7767
1060.000000	79.145	-100.4184
1075.000000	79.158	-101.9662
1090.000000	79.171	-103.5307
1106.000000	79.192	-105.2013
1120.000000	79.215	-106.6556
1138.000000	79.245	-108.5378
1150.000000	79.264	-109.7800
1172.000000	79.301	-111.9871
1180.000000	79.316	-112.7698
1206.000000	79.371	-115.2141
1220.000000	79.406	-116.4855
1241.000000	79.456	-118.3926
1250.000000	79.476	-119.2206
1265.000000	79.506	-120.6279
1280.000000	79.535	-122.0699
1315.000000	79.616	-125.5651
1320.000000	79.629	-126.0845
1340.000000	79.677	-128.2171
1360.000000	79.722	-130.4092
1380.000000	79.768	-132.5853
