* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Sep-2024 18:18:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Ultrasonic Ref L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.445	29.0366
20.600000	78.478	28.6340
20.900000	78.523	28.1989
21.200001	78.576	27.8246
21.400000	78.613	27.6207
21.799999	78.685	27.3055
22.000000	78.717	27.1788
22.400000	78.771	26.9455
22.700001	78.801	26.7581
23.000000	78.824	26.5387
23.299999	78.842	26.2751
23.600000	78.860	25.9623
24.000000	78.889	25.4726
24.299999	78.917	25.0619
24.700001	78.964	24.4829
25.000000	79.004	24.0458
25.400000	79.059	23.4880
25.799999	79.111	22.9789
26.200001	79.160	22.5204
26.500000	79.194	22.1980
26.900000	79.239	21.7709
27.200001	79.272	21.4355
27.600000	79.316	20.9538
28.000000	79.362	20.4342
28.500000	79.421	19.7578
29.000000	79.481	19.0854
29.500000	79.541	18.4323
30.000000	79.598	17.7922
30.400000	79.640	17.2814
30.700001	79.671	16.8952
31.100000	79.710	16.3704
31.500000	79.749	15.8272
32.000000	79.797	15.1153
32.500000	79.841	14.3770
33.000000	79.881	13.6410
33.500000	79.918	12.9304
34.000000	79.956	12.2425
34.500000	79.997	11.5589
35.000000	80.036	10.8714
35.500000	80.072	10.1907
36.000000	80.103	9.5304
36.500000	80.132	8.8890
37.000000	80.159	8.2534
37.500000	80.185	7.6120
38.200001	80.220	6.7046
38.700001	80.244	6.0621
39.500000	80.280	5.0675
40.000000	80.301	4.4571
40.599998	80.325	3.7030
41.200001	80.343	2.9182
41.799999	80.355	2.1528
42.500000	80.377	1.3511
43.099998	80.409	0.7032
43.700001	80.444	0.0060
44.400002	80.469	-0.8939
45.000000	80.471	-1.6728
45.500000	80.468	-2.2836
46.200001	80.469	-3.0701
46.799999	80.476	-3.7016
47.500000	80.482	-4.4127
48.200001	80.476	-5.1103
48.700001	80.466	-5.6101
49.400002	80.451	-6.3324
50.000000	80.444	-6.9842
50.799999	80.440	-7.8709
51.500000	80.435	-8.6038
52.200001	80.428	-9.2719
53.000000	80.418	-10.0004
53.799999	80.407	-10.7420
54.500000	80.397	-11.4017
55.200001	80.386	-12.0540
56.000000	80.373	-12.7857
57.000000	80.354	-13.6949
58.000000	80.329	-14.6052
