* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.900
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12-Jun-2024 14:12:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vivo TWS4 CV L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	72.476	107.1660
20.600000	72.600	106.2755
20.900000	72.760	105.1205
21.200001	72.935	103.8258
21.400000	73.053	102.9150
21.799999	73.284	101.0393
22.000000	73.395	100.1003
22.400000	73.608	98.2702
22.700001	73.763	96.9576
23.000000	73.916	95.6913
23.299999	74.068	94.4533
23.600000	74.218	93.2225
24.000000	74.412	91.5669
24.299999	74.552	90.3085
24.700001	74.728	88.6151
25.000000	74.855	87.3431
25.400000	75.018	85.6579
25.799999	75.176	83.9945
26.200001	75.331	82.3572
26.500000	75.446	81.1447
26.900000	75.595	79.5430
27.200001	75.704	78.3481
27.600000	75.841	76.7591
28.000000	75.966	75.1766
28.500000	76.103	73.2214
29.000000	76.223	71.3085
29.500000	76.334	69.4410
30.000000	76.446	67.6046
30.400000	76.539	66.1470
30.700001	76.610	65.0583
31.100000	76.705	63.6164
31.500000	76.797	62.1941
32.000000	76.900	60.4615
32.500000	76.988	58.7941
33.000000	77.063	57.1893
33.500000	77.131	55.6214
34.000000	77.197	54.0558
34.500000	77.262	52.4752
35.000000	77.323	50.8943
35.500000	77.377	49.3476
36.000000	77.426	47.8585
36.500000	77.470	46.4201
37.000000	77.513	45.0022
37.500000	77.551	43.5786
38.200001	77.598	41.5771
38.700001	77.626	40.1721
39.500000	77.666	38.0156
40.000000	77.688	36.7259
40.599998	77.709	35.2326
41.200001	77.725	33.8067
41.799999	77.741	32.4487
42.500000	77.767	30.9050
43.099998	77.791	29.5683
43.700001	77.808	28.2197
44.400002	77.816	26.6878
45.000000	77.818	25.4418
45.500000	77.819	24.4414
46.200001	77.818	23.0683
46.799999	77.810	21.9080
47.500000	77.793	20.5737
48.200001	77.776	19.2571
48.700001	77.765	18.3368
49.400002	77.756	17.1077
50.000000	77.756	16.1201
50.799999	77.764	14.8552
51.500000	77.768	13.7502
52.200001	77.764	12.6402
53.000000	77.752	11.3867
53.799999	77.733	10.1742
54.500000	77.713	9.1633
55.200001	77.693	8.1901
56.000000	77.672	7.0865
57.000000	77.649	5.7051
58.000000	77.629	4.3747
59.000000	77.612	3.1102
60.000000	77.596	1.8816
60.799999	77.584	0.9178
61.500000	77.574	0.0885
62.200001	77.563	-0.7317
63.000000	77.549	-1.6616
64.000000	77.527	-2.8075
65.000000	77.507	-3.9306
66.000000	77.491	-5.0436
67.000000	77.479	-6.1540
68.000000	77.468	-7.2489
69.000000	77.457	-8.3066
70.000000	77.442	-9.3192
71.000000	77.425	-10.3008
72.000000	77.405	-11.2711
73.000000	77.386	-12.2421
74.000000	77.368	-13.2192
75.000000	77.350	-14.1979
