* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.900
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12-Jun-2024 14:33:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vivo TWS4 MB
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.974	109.3194
20.600000	80.094	107.7130
20.900000	80.238	105.7142
21.200001	80.382	103.6001
21.400000	80.474	102.1858
21.799999	80.646	99.4087
22.000000	80.727	98.0594
22.400000	80.882	95.4538
22.700001	80.992	93.5815
23.000000	81.099	91.7739
23.299999	81.201	90.0223
23.600000	81.298	88.3174
24.000000	81.419	86.1022
24.299999	81.503	84.4759
24.700001	81.606	82.3466
25.000000	81.678	80.7771
25.400000	81.768	78.7230
25.799999	81.853	76.7203
26.200001	81.934	74.7797
26.500000	81.992	73.3713
26.900000	82.066	71.5609
27.200001	82.120	70.2525
27.600000	82.190	68.5639
28.000000	82.258	66.9196
28.500000	82.342	64.8929
29.000000	82.422	62.8773
29.500000	82.495	60.8875
30.000000	82.563	58.9610
30.400000	82.617	57.4811
30.700001	82.659	56.4041
31.100000	82.717	54.9979
31.500000	82.776	53.6088
32.000000	82.848	51.8817
32.500000	82.916	50.1696
33.000000	82.980	48.4832
33.500000	83.046	46.8188
34.000000	83.114	45.1606
34.500000	83.182	43.5004
35.000000	83.245	41.8459
35.500000	83.303	40.2104
36.000000	83.358	38.5978
36.500000	83.410	37.0010
37.000000	83.459	35.4114
37.500000	83.506	33.8265
38.200001	83.566	31.6224
38.700001	83.605	30.0632
39.500000	83.661	27.5918
40.000000	83.691	26.0543
40.599998	83.722	24.2106
41.200001	83.746	22.3726
41.799999	83.762	20.5540
42.500000	83.775	18.4700
43.099998	83.783	16.7148
43.700001	83.788	14.9820
44.400002	83.786	12.9890
45.000000	83.779	11.3109
