* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.900
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 12-Jun-2024 14:33:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vivo TWS4 MB
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.864	105.5337
20.600000	79.979	103.9269
20.900000	80.124	101.9405
21.200001	80.276	99.8421
21.400000	80.377	98.4302
21.799999	80.572	95.6160
22.000000	80.664	94.2221
22.400000	80.835	91.4786
22.700001	80.949	89.4721
23.000000	81.054	87.5162
23.299999	81.150	85.6105
23.600000	81.240	83.7496
24.000000	81.351	81.3256
24.299999	81.430	79.5442
24.700001	81.529	77.2177
25.000000	81.600	75.5150
25.400000	81.691	73.3097
25.799999	81.780	71.1823
26.200001	81.866	69.1264
26.500000	81.929	67.6243
26.900000	82.009	65.6663
27.200001	82.065	64.2287
27.600000	82.135	62.3528
28.000000	82.201	60.5239
28.500000	82.280	58.2994
29.000000	82.358	56.1314
29.500000	82.436	54.0062
30.000000	82.512	51.9144
30.400000	82.571	50.2612
30.700001	82.613	49.0316
31.100000	82.669	47.4038
31.500000	82.723	45.7876
32.000000	82.790	43.7824
32.500000	82.859	41.7951
33.000000	82.930	39.8306
33.500000	83.002	37.8964
34.000000	83.074	35.9970
34.500000	83.143	34.1294
35.000000	83.208	32.2834
35.500000	83.269	30.4471
36.000000	83.325	28.6122
36.500000	83.376	26.7746
37.000000	83.424	24.9341
37.500000	83.469	23.0953
38.200001	83.523	20.5403
38.700001	83.558	18.7371
39.500000	83.611	15.8793
40.000000	83.642	14.0988
40.599998	83.677	11.9664
41.200001	83.707	9.8454
41.799999	83.729	7.7400
42.500000	83.746	5.3060
43.099998	83.753	3.2477
43.700001	83.758	1.2237
44.400002	83.762	-1.0953
45.000000	83.763	-3.0518
45.500000	83.758	-4.6601
46.200001	83.740	-6.8778
46.799999	83.717	-8.7561
47.500000	83.681	-10.9354
48.200001	83.636	-13.0965
48.700001	83.600	-14.6130
49.400002	83.546	-16.6799
50.000000	83.500	-18.4005
50.799999	83.438	-20.6427
51.500000	83.380	-22.5637
52.200001	83.316	-24.4363
53.000000	83.237	-26.5106
53.799999	83.156	-28.5328
54.500000	83.086	-30.2771
55.200001	83.016	-31.9955
56.000000	82.934	-33.9054
57.000000	82.831	-36.1939
58.000000	82.728	-38.4022
59.000000	82.628	-40.5597
60.000000	82.529	-42.6509
60.799999	82.449	-44.2632
61.500000	82.380	-45.6381
62.200001	82.312	-46.9956
63.000000	82.236	-48.5395
64.000000	82.143	-50.4566
65.000000	82.051	-52.3356
66.000000	81.959	-54.1566
67.000000	81.870	-55.9308
68.000000	81.785	-57.6892
69.000000	81.702	-59.4427
70.000000	81.621	-61.1803
71.000000	81.542	-62.8945
72.000000	81.461	-64.5779
73.000000	81.376	-66.2199
74.000000	81.292	-67.8157
75.000000	81.213	-69.3743
76.199997	81.128	-71.2373
77.500000	81.043	-73.2831
78.800003	80.957	-75.3282
80.000000	80.873	-77.1868
81.199997	80.789	-79.0199
82.500000	80.700	-80.9858
83.800003	80.615	-82.9432
85.000000	80.541	-84.7545
86.199997	80.471	-86.5637
87.500000	80.397	-88.4960
88.500000	80.342	-89.9581
90.000000	80.262	-92.1264
91.199997	80.202	-93.8446
92.500000	80.137	-95.6882
93.800003	80.071	-97.5042
95.000000	80.011	-99.1627
96.199997	79.951	-100.8251
97.500000	79.886	-102.6387
98.800003	79.819	-104.4668
100.000000	79.755	-106.1710
101.500000	79.675	-108.3051
103.000000	79.597	-110.4135
104.400002	79.525	-112.3542
106.000000	79.442	-114.5445
107.500000	79.364	-116.5824
109.000000	79.285	-118.6260
110.599998	79.200	-120.8151
112.000000	79.124	-122.7245
113.800003	79.027	-125.1597
115.000000	78.965	-126.7739
117.199997	78.855	-129.7206
118.000000	78.815	-130.7890
120.599998	78.686	-134.2533
122.000000	78.616	-136.0909
124.099998	78.509	-138.8049
125.000000	78.463	-139.9626
126.500000	78.385	-141.8913
128.000000	78.307	-143.8220
131.500000	78.127	-148.3024
132.000000	78.101	-148.9356
134.000000	77.999	-151.4472
136.000000	77.900	-153.9353
138.000000	77.803	-156.4191
140.000000	77.704	-158.9012
143.000000	77.560	-162.6260
145.000000	77.468	-165.1262
147.500000	77.352	-168.2737
150.000000	77.231	-171.4250
152.500000	77.109	-174.5197
155.000000	76.987	-177.5532
157.500000	76.863	179.4291
160.000000	76.745	176.4182
162.500000	76.628	173.4246
165.000000	76.508	170.4020
167.500000	76.389	167.3209
170.000000	76.272	164.2470
172.500000	76.154	161.2522
175.000000	76.033	158.3431
177.500000	75.911	155.4826
180.000000	75.792	152.6332
182.500000	75.682	149.8060
185.000000	75.579	147.0474
187.500000	75.478	144.3813
190.000000	75.374	141.8150
192.500000	75.272	139.3540
195.000000	75.173	136.9990
197.500000	75.081	134.7317
200.000000	74.996	132.5337
203.000000	74.901	129.9620
206.000000	74.813	127.4255
209.000000	74.733	124.9305
212.000000	74.657	122.5198
214.000000	74.607	120.9634
218.000000	74.501	117.9139
220.000000	74.445	116.3766
224.000000	74.333	113.2298
227.000000	74.256	110.8278
230.000000	74.185	108.4382
233.000000	74.116	106.1058
236.000000	74.048	103.8286
240.000000	73.955	100.8304
243.000000	73.886	98.6023
247.000000	73.797	95.6942
250.000000	73.732	93.5693
254.000000	73.648	90.7810
258.000000	73.565	88.0073
262.000000	73.484	85.2349
265.000000	73.424	83.1579
269.000000	73.341	80.3914
272.000000	73.274	78.3200
276.000000	73.179	75.5674
280.000000	73.081	72.8449
285.000000	72.956	69.5206
290.000000	72.834	66.2897
295.000000	72.723	63.1146
300.000000	72.628	60.0054
304.000000	72.562	57.5549
307.000000	72.516	55.7206
311.000000	72.461	53.2647
315.000000	72.412	50.7726
320.000000	72.358	47.6003
325.000000	72.306	44.3975
330.000000	72.255	41.1814
335.000000	72.200	37.9454
340.000000	72.139	34.6976
345.000000	72.076	31.4388
350.000000	72.014	28.1552
355.000000	71.955	24.8304
360.000000	71.895	21.4683
365.000000	71.830	18.0894
370.000000	71.762	14.7330
375.000000	71.693	11.4401
382.000000	71.602	6.9250
387.000000	71.544	3.7452
395.000000	71.468	-1.2910
400.000000	71.425	-4.4396
406.000000	71.371	-8.2236
412.000000	71.313	-11.9791
418.000000	71.252	-15.7014
425.000000	71.181	-20.0074
431.000000	71.118	-23.6652
437.000000	71.057	-27.2945
444.000000	70.989	-31.4778
450.000000	70.930	-35.0310
455.000000	70.878	-37.9697
462.000000	70.807	-42.0468
468.000000	70.750	-45.5015
475.000000	70.692	-49.4444
482.000000	70.641	-53.2701
487.000000	70.611	-55.9458
494.000000	70.571	-59.6569
500.000000	70.537	-62.8463
508.000000	70.487	-67.1371
515.000000	70.439	-70.9005
522.000000	70.385	-74.6428
530.000000	70.320	-78.8842
538.000000	70.260	-83.0801
545.000000	70.211	-86.7142
552.000000	70.160	-90.3286
560.000000	70.094	-94.4369
570.000000	70.007	-99.5188
580.000000	69.923	-104.5684
590.000000	69.848	-109.6299
600.000000	69.779	-114.6675
608.000000	69.724	-118.6437
615.000000	69.678	-122.0750
622.000000	69.634	-125.4684
630.000000	69.587	-129.3161
640.000000	69.530	-134.0994
650.000000	69.472	-138.8780
660.000000	69.410	-143.6359
670.000000	69.345	-148.3112
680.000000	69.284	-152.8904
690.000000	69.238	-157.3801
700.000000	69.205	-161.7596
710.000000	69.179	-166.0551
720.000000	69.154	-170.3640
730.000000	69.131	-174.7630
740.000000	69.108	-179.2344
750.000000	69.085	176.2776
762.000000	69.057	170.8964
775.000000	69.026	165.0491
788.000000	69.000	159.1761
800.000000	68.979	153.7998
812.000000	68.961	148.5040
825.000000	68.952	142.9046
838.000000	68.963	137.5013
850.000000	68.987	132.6642
862.000000	69.017	127.8902
875.000000	69.054	122.7142
885.000000	69.081	118.6979
900.000000	69.123	112.5930
912.000000	69.159	107.6428
925.000000	69.206	102.2244
938.000000	69.260	96.7672
950.000000	69.311	91.7043
962.000000	69.364	86.6096
975.000000	69.423	81.0419
988.000000	69.486	75.4037
1000.000000	69.547	70.1419
1015.000000	69.626	63.5181
1030.000000	69.706	56.8511
1044.000000	69.783	50.5949
1060.000000	69.876	43.4313
1075.000000	69.970	36.7349
1090.000000	70.074	30.0685
1106.000000	70.196	22.9492
1120.000000	70.304	16.6661
1138.000000	70.439	8.4364
1150.000000	70.524	2.8160
1172.000000	70.681	-7.7515
1180.000000	70.739	-11.6504
1206.000000	70.930	-24.4670
1220.000000	71.030	-31.4724
1241.000000	71.174	-42.1406
1250.000000	71.231	-46.7703
1265.000000	71.317	-54.5444
1280.000000	71.396	-62.3567
1315.000000	71.577	-80.4785
1320.000000	71.603	-83.0391
1340.000000	71.704	-93.2173
1360.000000	71.802	-103.3368
1380.000000	71.895	-113.4584
1400.000000	71.986	-123.6379
1430.000000	72.118	-139.0187
1450.000000	72.205	-149.2852
1475.000000	72.315	-161.9907
1500.000000	72.431	-174.4442
1525.000000	72.549	173.3331
1550.000000	72.674	161.3140
1575.000000	72.814	149.6312
1600.000000	72.974	138.3853
1625.000000	73.156	127.4937
1650.000000	73.349	116.7994
1675.000000	73.539	106.2068
1700.000000	73.727	95.7971
1725.000000	73.917	85.7236
1750.000000	74.106	76.0381
1775.000000	74.290	66.7083
1800.000000	74.464	57.6899
1825.000000	74.627	48.9572
1850.000000	74.788	40.4791
1875.000000	74.949	32.2185
1900.000000	75.111	24.1260
1925.000000	75.275	16.1479
1950.000000	75.437	8.2587
1975.000000	75.598	0.4360
2000.000000	75.760	-7.3243
2030.000000	75.954	-16.5421
2060.000000	76.150	-25.6448
2090.000000	76.350	-34.5825
2120.000000	76.552	-43.3094
2140.000000	76.690	-49.0056
2180.000000	76.974	-60.0819
2200.000000	77.122	-65.4479
2240.000000	77.429	-75.8760
2270.000000	77.664	-83.5586
2300.000000	77.895	-91.2655
2330.000000	78.118	-99.0212
2360.000000	78.333	-106.7107
2400.000000	78.614	-116.6415
2430.000000	78.813	-123.8430
2470.000000	79.057	-133.2762
2500.000000	79.219	-140.2990
2540.000000	79.409	-149.6002
2580.000000	79.575	-158.7559
2620.000000	79.719	-167.6783
2650.000000	79.813	-174.1946
2690.000000	79.914	177.3226
2720.000000	79.970	171.0818
2760.000000	80.016	162.9065
2800.000000	80.030	154.9060
2850.000000	80.001	145.2507
2900.000000	79.929	136.2278
2950.000000	79.827	127.9174
3000.000000	79.696	120.1949
3040.000000	79.566	114.3611
3070.000000	79.455	110.1573
3110.000000	79.287	104.7245
3150.000000	79.097	99.4426
3200.000000	78.833	93.0936
3250.000000	78.545	87.1199
3300.000000	78.239	81.6313
3350.000000	77.924	76.7369
3400.000000	77.606	72.4370
3450.000000	77.290	68.6196
3500.000000	76.979	65.1034
3550.000000	76.674	61.7135
3600.000000	76.381	58.4176
3650.000000	76.111	55.3033
3700.000000	75.865	52.4354
3750.000000	75.647	49.8541
3820.000000	75.395	46.7925
3870.000000	75.247	44.9537
3950.000000	75.054	42.2397
4000.000000	74.961	40.5518
4060.000000	74.887	38.6094
4120.000000	74.858	36.7917
4180.000000	74.864	34.9894
4250.000000	74.908	32.7871
4310.000000	74.977	30.7832
4370.000000	75.068	28.6945
4440.000000	75.200	26.3171
4500.000000	75.335	24.5118
4550.000000	75.464	23.2434
4620.000000	75.670	21.7632
4680.000000	75.867	20.5750
4750.000000	76.113	19.0450
4820.000000	76.367	17.2483
4870.000000	76.547	15.8192
4940.000000	76.795	13.6880
5000.000000	76.994	11.7274
5080.000000	77.224	8.7760
5150.000000	77.385	5.8586
5220.000000	77.507	2.8151
5300.000000	77.600	-0.4622
5380.000000	77.638	-3.2968
5450.000000	77.615	-5.4417
5520.000000	77.534	-7.3190
5600.000000	77.378	-9.0360
5700.000000	77.124	-10.3506
5800.000000	76.831	-10.9478
5900.000000	76.460	-11.0179
6000.000000	75.972	-10.6718
6080.000000	75.505	-10.2020
6150.000000	75.058	-9.6556
6220.000000	74.600	-8.8710
6300.000000	74.113	-7.4717
6400.000000	73.628	-5.0566
6500.000000	73.251	-2.2653
6600.000000	72.925	0.9879
6700.000000	72.679	4.8136
6800.000000	72.561	8.9767
6900.000000	72.592	13.0270
7000.000000	72.778	16.7144
7100.000000	73.122	20.1094
7200.000000	73.616	23.1732
7300.000000	74.239	25.4100
7400.000000	74.963	26.0864
7500.000000	75.752	24.7350
7620.000000	76.718	20.4648
7750.000000	77.656	13.0402
7880.000000	78.329	3.8689
8000.000000	78.617	-4.5758
8120.000000	78.533	-11.9418
8250.000000	78.046	-17.8628
8380.000000	77.240	-21.1597
8500.000000	76.316	-21.8873
8620.000000	75.315	-20.4583
8750.000000	74.228	-16.4038
8850.000000	73.431	-11.4648
9000.000000	72.335	-1.3755
9120.000000	71.549	8.5245
9250.000000	70.782	20.5173
9380.000000	70.099	33.1350
9500.000000	69.532	44.6028
9620.000000	69.016	55.5280
9750.000000	68.515	66.8971
9880.000000	68.074	78.1870
10000.000000	67.715	88.7354
10150.000000	67.317	102.0193
10300.000000	66.967	115.3202
10440.000000	66.688	127.9418
10600.000000	66.435	142.9558
10750.000000	66.270	157.7826
10900.000000	66.179	173.2117
11060.000000	66.155	-170.2395
11200.000000	66.190	-155.9438
11380.000000	66.312	-137.6102
